station,n_years,annual_max,annual_max_year,c,loc,scale,ks_D,ks_p,lat,lon,status
1,67,1.4587857723236084,1987.0,-0.0668980024668783,0.686735145443655,0.12641575855296153,0.059355434720753,0.9611206426142379,48.383,-4.495,ok
10,45,1.587813138961792,1963.0,0.22620309643052888,0.7298437272064716,0.2786902221755948,0.11702089137251859,0.5303659102802403,45.56848,-1.061555,ok
102,64,0.9954325556755066,1989.0,0.13041895317722718,0.603166270976625,0.11500266595288514,0.042656078268192066,0.9995068183061514,50.102,-5.542,ok
103,75,1.9853076934814453,2019.0,-0.22856828607658766,0.6718686857054099,0.14892214508872545,0.10479813505999769,0.3573851715133687,50.103,-5.54275,ok
104,35,1.915684461593628,2019.0,-0.4402974591640128,0.6129455258604914,0.1355038168627502,0.12413715761236338,0.6093737888076705,50.099998,-5.53333,ok
108,34,1.9969708919525146,1996.0,-0.6632997941769476,0.7620850071199547,0.31795359757892705,0.21329270289237234,0.07765046698070788,50.6085,-2.447944,ok
109,29,1.9988727569580078,2013.0,0.08458665663502367,0.7176434651907546,0.3852696563801094,0.07408364894218522,0.9936782683005486,50.714333,-1.874861,ok
11,38,1.2330121994018555,2010.0,0.04705170419550154,0.7005989133002857,0.13673769655262608,0.08254598803584678,0.9390648879137818,46.497358,-1.793528,ok
110,0,,,,,,,,50.65112,-1.15317,skipped (<20 years)
111,18,1.996410846710205,2014.0,,,,,,50.7403,-1.50714,skipped (<20 years)
112,0,,,,,,,,50.60935,-1.94918,skipped (<20 years)
113,0,,,,,,,,50.76983,-0.49215,skipped (<20 years)
114,12,1.9067398309707642,2019.0,,,,,,50.70888,-2.76411,skipped (<20 years)
115,13,1.9728399515151978,2023.0,,,,,,50.59419,-4.83437,skipped (<20 years)
12,36,1.9769068956375122,1995.0,0.19667515510821754,1.2706489402077445,0.24774429763347017,0.07857025573177479,0.9666475466938006,47.277217,-1.8898,ok
120,57,1.706781268119812,1983.0,1.1628860056505301,0.2449722286090531,1.6999172749805045,0.5079017135783969,3.74127090219187e-14,50.9693985,1.86772001,ok
121,46,1.9428565502166748,1990.0,0.23779428462769536,1.1383426499734426,0.27280489756582954,0.07852981554852523,0.9179834188467297,50.72738,1.57766,ok
122,57,1.7081587314605713,1983.0,1.1591851916509357,0.2400786639410094,1.7017766744265823,0.5091224500745316,3.1800844808630126e-14,50.969501,1.8677,ok
123,46,1.9428638219833374,1990.0,0.23787827770844988,1.1384433067910495,0.2727724496350498,0.07742357602853997,0.92560997700612,50.727501,1.5774,ok
124,34,1.028485894203186,1993.0,0.3466544559303326,0.751388252665756,0.1356196029326589,0.15575545857450268,0.34521684601732616,50.783298,0.06667,ok
125,34,1.288065791130066,2017.0,0.05967347230799044,0.659219599260044,0.12169334756263497,0.0937011124670526,0.8993473165645878,50.368401,-4.1852002,ok
126,34,1.9962831735610962,2018.0,-0.10230527705594766,0.7422343728649261,0.14889734066847704,0.1105503758995737,0.7594073522772493,50.8004,-1.1102,ok
127,34,1.1978788375854492,2021.0,0.07626203525216753,0.6766356421497631,0.14229922425016006,0.06561818579671774,0.996465593691206,50.607899,-2.4465001,ok
128,28,1.6370569467544556,2020.0,-0.14217036913324715,0.6888682529124186,0.19064357632233142,0.07703367176155912,0.9917682562472491,50.7136,-1.8747,ok
129,19,1.9689010381698608,2021.0,,,,,,50.651108,-1.1531577,skipped (<20 years)
13,36,1.9996695518493652,2001.0,1.2084364766787687,1.6939012128454054,0.3695016142658646,0.16944428171466897,0.22551932942842146,47.205383,-1.765133,ok
130,18,1.9989506006240845,2022.0,,,,,,50.740292,-1.5071276,skipped (<20 years)
131,17,1.0990238189697266,2014.0,,,,,,50.609333,-1.949177,skipped (<20 years)
133,15,1.982075572013855,2022.0,,,,,,50.594177,-4.8344054,skipped (<20 years)
14,35,1.9997692108154297,2021.0,1.3747858441058545,1.7995004774780774,0.2753266196092022,0.34126870645132296,0.0003841954544388114,47.19345,-1.633667,ok
140,39,1.7445918321609497,1964.0,-0.041004131213613786,0.9684672487481716,0.15843384468521532,0.09484429443058184,0.841766394128317,50.8839,-1.3931,ok
141,30,1.7683552503585815,1977.0,-0.2067824598828717,0.7334929823348949,0.10219597673391664,0.07102875192131852,0.9954194020995736,50.802194,-1.11125,ok
142,29,1.968797206878662,1986.0,-0.15622002362875104,0.9100003179333325,0.3088739826533735,0.12786341081047015,0.6830701757694819,50.368389,-4.18525,ok
143,0,,,,,,,,50.781778,0.057028,skipped (<20 years)
145,0,,,,,,,,51.533,-9.183,skipped (<20 years)
146,64,1.9999666213989258,2019.0,0.9221584117705883,1.9979773102683633,0.001837475789361621,0.05374991580446517,0.9878470569892506,51.707389,-5.051778,ok
147,19,0.9504026174545288,2014.0,,,,,,51.6496,-9.9034,skipped (<20 years)
148,15,1.0796854496002197,2014.0,,,,,,51.8278,-8.0007,skipped (<20 years)
15,34,1.4443678855895996,2023.0,0.338042720322112,0.8873126543117644,0.22024142221199672,0.1391633916019701,0.483037023969369,48.640812,-2.028103,ok
151,35,1.2821886539459229,1990.0,1.1831768172556734,0.5718871906819742,0.8404122245966864,0.31485794520069604,0.0013919843851604163,51.716702,-5.0500002,ok
152,19,1.9988528490066528,2020.0,,,,,,51.649601,-9.9034004,skipped (<20 years)
153,15,1.0073405504226685,2014.0,,,,,,51.827801,-8.0007,skipped (<20 years)
154,14,1.9340723752975464,2014.0,,,,,,51.84,-8.3039999,skipped (<20 years)
156,67,1.9999529123306274,2018.0,-0.020125180186120483,1.1081291341429136,0.21341710456954513,0.09583540168685911,0.5378209746013467,51.114389,1.322528,ok
157,58,1.9998483657836914,2011.0,1.15702649672409,1.8055234075048845,0.22483912570338294,0.21668982140645915,0.007177871094504962,51.445639,0.743361,ok
158,51,1.8383790254592896,1970.0,0.7459190455584057,1.6652586429625966,0.13081738138635673,0.10602313975732844,0.5783281806418217,51.211139,-4.112389,ok
159,0,,,,,,,,51.50775,-2.71275,skipped (<20 years)
16,26,1.2608228921890259,1984.0,1.0279709757256383,0.7281382893667716,0.5475843109172169,0.35553609451518886,0.0019050558536076734,45.56843333,-1.06148333,ok
160,38,1.9992998838424683,2019.0,1.2967326506576329,1.6865611435112957,0.4055385357129706,0.2437500067677773,0.017923366323839618,51.948,1.292056,ok
161,32,1.9867879152297974,2021.0,0.8564991105401029,1.5438767676871459,0.38274845291612813,0.1561744289417385,0.37676142733808415,51.21525,-3.134472,ok
162,32,1.9978331327438354,2021.0,0.4879396571655952,1.512750955720976,0.27612088780343624,0.11596449441144796,0.7396309733057436,51.55,-2.987444,ok
163,15,0.6220284104347229,2008.0,,,,,,51.95769444,1.34655556,skipped (<20 years)
164,8,0.25245532393455505,1999.0,,,,,,51.57,-3.975472,skipped (<20 years)
165,17,1.7406046390533447,2018.0,,,,,,51.5,-2.72847222,skipped (<20 years)
166,29,1.983277440071106,2007.0,0.6187414288977545,1.5578809556198614,0.28463562182236773,0.16926096289595055,0.33822499776324744,51.38198,1.11553,ok
167,19,1.878554105758667,2007.0,,,,,,51.22378,1.40923,skipped (<20 years)
168,13,1.9996784925460815,2013.0,,,,,,51.57012,-2.70001,skipped (<20 years)
17,30,1.7214919328689575,1992.0,1.1282711413862718,0.0648356054912024,1.8691575253752892,0.4659301427998345,1.7296034240600323e-06,47.305667,-2.0883,ok
170,67,1.9700722694396973,1983.0,1.0555901421448746,0.10548692887739747,1.9682379046854077,0.518033778861088,3.0598650483097355e-17,51.048091,2.366698,ok
172,49,1.997327446937561,1985.0,1.2719458638146113,1.850044789232785,0.1873355672792132,0.10577382814847602,0.6056494218371905,51.399148,4.209993,ok
173,22,2.5573720932006836,1973.0,0.6455627485146929,1.9578423539799474,0.4077473993843807,0.1564792562304852,0.59965958241308,51.506519,4.249998,ok
174,30,1.9863706827163696,1993.0,0.7112251581328918,1.633133659676083,0.26025086913815454,0.09271391864940914,0.937639173701724,51.511332,4.165743,ok
175,15,1.9966926574707031,1983.0,,,,,,51.399115,3.564552,skipped (<20 years)
178,40,1.975235939025879,1994.0,0.9371954666009716,1.6567351965182393,0.29909231202623704,0.13641534823275292,0.4094736325020659,51.750754,3.811483,ok
179,26,1.9978113174438477,1966.0,0.8056376096149291,1.7085471572699094,0.23791573198793664,0.12195865015234908,0.7904219035386463,51.655118,4.102756,ok
18,27,1.1476339101791382,2023.0,0.46807960932760584,0.6472118566162715,0.2587643066516487,0.1550599028223873,0.48719369083452346,47.542676,-2.895167,ok
180,18,1.9983489513397217,1983.0,,,,,,51.675798,3.756442,skipped (<20 years)
181,49,1.9929412603378296,1994.0,0.7779629433733071,1.5699164886497714,0.3349202526196604,0.11809154755962425,0.4662448066754378,51.379296,3.376275,ok
183,17,1.9796900749206543,1983.0,,,,,,51.60088,3.85938,skipped (<20 years)
19,26,1.0529381036758423,2023.0,0.07498054836180752,0.6475149950447708,0.09640668480004501,0.09903504430552657,0.9387106610829788,47.873549,-3.907207,ok
194,58,1.9987096786499023,1967.0,1.0258218194339368,1.7908550271063652,0.2132218368241982,0.11424227063924697,0.40501489275485447,51.445556,4.006959,ok
195,38,1.940718173980713,1990.0,0.6376694941271304,1.4071918895702211,0.3590910879698304,0.13275772575969225,0.4744545920515929,51.863131,3.860766,ok
196,13,0.7779682278633118,1983.0,,,,,,51.835992,4.054941,skipped (<20 years)
197,17,1.990028977394104,1973.0,,,,,,51.829224,4.04484,skipped (<20 years)
2,73,1.453881859779358,1987.0,-0.09702313026184743,0.6826883822784113,0.12532102156198466,0.06718306461094337,0.8745929683203566,48.383,-4.5,ok
200,58,1.0301131010055542,1966.0,0.4966541094014624,0.8205325042510171,0.11748053157586073,0.05393604316981093,0.9926103519514775,51.819721,4.128239,ok
203,58,1.988573670387268,1973.0,0.3086131585482008,1.496905366628142,0.2189709530528947,0.06952313449971739,0.9234433086845714,51.977572,4.119881,ok
205,17,1.9984153509140015,1973.0,,,,,,51.543944,3.865419,skipped (<20 years)
208,19,1.9937456846237183,1973.0,,,,,,51.666274,4.095356,skipped (<20 years)
209,31,1.9998725652694702,2007.0,1.0173324283468066,1.60093275773301,0.4058544031652749,0.21203630414590857,0.10589339449125967,51.659342,4.144264,ok
21,18,1.4290634393692017,2017.0,,,,,,46.007357,-1.174341,skipped (<20 years)
