,station,idx,lat,lon,decorrelation_days,error
0,0,0,48.383,-4.495,9.833333333333334,
2,2,2,50.102,-5.542,9.791666666666666,
4,4,4,50.099998,-5.53333,16.666666666666668,
5,5,5,50.6085,-2.447944,9.291666666666666,
7,7,7,46.497358,-1.793528,12.375,
9,9,9,50.7403,-1.50714,4.041666666666667,
12,12,12,50.70888,-2.76411,7.375,
13,13,13,50.59419,-4.83437,1.625,
14,14,14,47.277217,-1.8898,22.75,
15,15,15,50.9693985,1.86772001,9.875,
16,16,16,50.72738,1.57766,5.791666666666667,
17,17,17,50.969501,1.8677,9.875,
18,18,18,50.727501,1.5774,5.791666666666667,
19,19,19,50.783298,0.06667,8.75,
20,20,20,50.368401,-4.1852002,10.208333333333334,
21,21,21,50.8004,-1.1102,10.333333333333334,
22,22,22,50.607899,-2.4465001,9.791666666666666,
23,23,23,50.7136,-1.8747,7.208333333333333,
24,24,24,50.651108,-1.1531577,5.375,
25,25,25,47.205383,-1.765133,50.291666666666664,
26,26,26,50.740292,-1.5071276,4.0,
27,27,27,50.609333,-1.949177,6.375,
28,28,28,50.594177,-4.8344054,8.75,
29,29,29,47.19345,-1.633667,59.541666666666664,
30,30,30,50.8839,-1.3931,6.333333333333333,
31,31,31,50.802194,-1.11125,8.25,
32,32,32,50.368389,-4.18525,31.583333333333332,
35,35,35,51.707389,-5.051778,5.416666666666667,
36,36,36,51.6496,-9.9034,10.875,
37,37,37,51.8278,-8.0007,22.75,
38,38,38,48.640812,-2.028103,8.208333333333334,
39,39,39,51.716702,-5.0500002,7.791666666666667,
40,40,40,51.649601,-9.9034004,15.083333333333334,
41,41,41,51.827801,-8.0007,47.75,
42,42,42,51.84,-8.3039999,13.5,
43,43,43,51.114389,1.322528,10.833333333333334,
45,45,45,51.211139,-4.112389,9.583333333333334,
47,47,47,45.56843333,-1.06148333,19.166666666666668,
49,49,49,51.21525,-3.134472,4.416666666666667,
50,50,50,51.55,-2.987444,4.416666666666667,
54,54,54,51.38198,1.11553,7.833333333333333,
55,55,55,51.22378,1.40923,2.125,
56,56,56,51.57012,-2.70001,0.4166666666666667,
57,57,57,47.305667,-2.0883,32.125,
58,58,58,51.048091,2.366698,3.125,
59,59,59,51.399148,4.209993,3.125,
61,61,61,51.511332,4.165743,2.8333333333333335,
62,62,62,51.399115,3.564552,2.625,
63,63,63,51.750754,3.811483,2.8333333333333335,
64,64,64,51.655118,4.102756,3.1666666666666665,
65,65,65,47.542676,-2.895167,9.5,
66,66,66,51.675798,3.756442,7.291666666666667,
67,67,67,51.379296,3.376275,2.625,
68,68,68,51.60088,3.85938,5.708333333333333,
69,69,69,47.873549,-3.907207,13.416666666666666,
70,70,70,51.445556,4.006959,2.75,
71,71,71,51.863131,3.860766,2.875,
72,72,72,51.835992,4.054941,6.333333333333333,
73,73,73,51.829224,4.04484,3.125,
74,74,74,48.383,-4.5,9.916666666666666,
75,75,75,51.819721,4.128239,5.75,
76,76,76,51.977572,4.119881,3.125,
77,77,77,51.543944,3.865419,2.7083333333333335,
78,78,78,51.666274,4.095356,7.833333333333333,
79,79,79,51.659342,4.144264,2.8333333333333335,
82,82,82,51.773558,4.192415,7.875,
83,83,83,45.199667,-0.744167,19.791666666666668,
84,84,84,51.619106,3.686358,2.75,
85,85,85,51.619592,3.682065,2.7083333333333335,
86,86,86,45.453667,-0.92305,50.75,
87,87,87,51.595404,4.006011,4.208333333333333,
88,88,88,51.626665,4.254928,16.083333333333332,
89,89,89,51.827026,4.033445,3.2083333333333335,
90,90,90,51.336209,3.819812,2.625,
91,91,91,51.599317,3.75183,2.75,
92,92,92,51.442308,3.596057,2.625,
93,93,93,51.496839,4.056964,5.208333333333333,
94,94,94,51.521445,3.440031,3.125,
95,95,95,51.642157,3.910813,4.166666666666667,
97,97,97,51.76762642,3.61712418,4.708333333333333,
98,98,98,51.64286987,3.4810545,5.208333333333333,
99,99,99,51.39842692,4.02620594,6.25,
100,100,100,51.37786806,4.16499237,5.208333333333333,
104,104,104,45.335567,-0.795167,6.75,
105,105,105,51.50615366,4.07513028,4.708333333333333,
106,106,106,51.95823879,4.16144308,4.666666666666667,
107,107,107,51.34208224,4.24763328,6.25,
108,108,108,51.72154375,3.67591773,5.708333333333333,
110,110,110,51.58282787,3.47102233,4.708333333333333,
111,111,111,48.38290024,-4.49503994,9.875,
112,112,112,51.048199,2.3664999,3.125,
113,113,113,51.116699,1.3166699,4.416666666666667,
114,114,114,51.216702,-3.1333301,7.791666666666667,
115,115,115,51.216702,-4.1166701,8.25,
116,116,116,51.549599,-2.9860001,3.9583333333333335,
117,117,117,51.569698,-3.9737,59.541666666666664,
118,118,118,51.450001,0.75,2.6666666666666665,
119,119,119,51.381985,1.1155597,4.208333333333333,
120,120,120,51.507099,-2.7114,3.4166666666666665,
121,121,121,51.966702,1.35,0.625,
122,122,122,51.948002,1.2920001,2.6666666666666665,
123,123,123,51.223793,1.4092588,2.125,
124,124,124,51.5,-2.7284,2.0833333333333335,
125,125,125,51.570122,-2.7000217,2.1666666666666665,
126,126,126,51.522301,3.4402001,2.625,
127,127,127,45.040483,-0.603517,24.291666666666668,
128,128,128,52.3385,-6.4589,9.291666666666666,
129,129,129,52.14767,-6.99188,23.291666666666668,
130,130,130,52.792,-6.1451998,17.125,
131,131,131,52.338501,-6.4589,9.833333333333334,
132,132,132,52.2696,-9.8620996,16.666666666666668,
134,134,134,52.473083,1.75025,0.75,
135,135,135,52.934194,1.301639,3.2083333333333335,
136,136,136,52.719333,-4.045028,49.291666666666664,
137,137,137,52.964357,4.74499,3.875,
138,138,138,52.931535,5.045596,4.0,
139,139,139,52.462323,4.554823,3.4166666666666665,
140,140,140,52.467249,4.60506,3.4166666666666665,
141,141,141,52.934137,4.792286,3.5,
142,142,142,47.266862,-2.20155,9.875,
143,143,143,52.772657,4.649702,4.25,
144,144,144,52.099033,4.263563,3.125,
145,145,145,52.09903557,4.2635626,20.208333333333332,
146,146,146,52.46394337,4.51759573,4.166666666666667,
147,147,147,52.77265954,4.64970234,6.791666666666667,
148,148,148,48.3829,-4.4951,9.875,
149,149,149,52.9333,1.3,0.7083333333333334,
150,150,150,52.016701,-4.9833298,9.416666666666666,
151,151,151,52.466702,1.75,0.7083333333333334,
152,152,152,52.716702,-4.03333,33.25,
153,153,153,52.931274,5.0479212,30.166666666666668,
154,154,154,52.932617,5.0459771,3.125,
155,155,155,47.27,-2.2,9.875,
156,156,156,52.464966,4.5179009,2.6666666666666665,
157,157,157,48.359299,-4.7809,9.375,
158,158,158,47.644299,-3.4459901,16.166666666666668,
159,159,159,54.842556,-5.120028,7.333333333333333,
161,161,161,47.140381,-2.24635,11.875,
162,162,162,54.6364,-8.3949,7.375,
163,163,163,54.9905,-8.4955,6.75,
164,164,164,54.2536,-9.8928,19.791666666666668,
165,165,165,54.3099,-8.582,7.291666666666667,
166,166,166,54.8424,-5.1188998,6.791666666666667,
167,167,167,54.665001,-5.6691999,8.25,
168,168,168,54.636398,-8.3949003,46.458333333333336,
169,169,169,54.989601,-8.4956198,7.208333333333333,
170,170,170,54.252998,-9.8900003,21.458333333333332,
171,171,171,48.718399,-3.9658999,10.25,
172,172,172,54.3046,-8.5689001,6.916666666666667,
173,173,173,54.031833,-2.92025,7.75,
174,174,174,54.49,-0.614694,4.416666666666667,
175,175,175,54.650722,-3.567167,8.25,
176,176,176,54.085222,-4.768056,7.791666666666667,
178,178,178,54.48862,-0.61462,15.833333333333334,
179,179,179,54.82326593,9.65412763,2.7083333333333335,
180,180,180,54.79504891,9.433011,2.5416666666666665,
181,181,181,46.148701,-1.2259001,10.375,
182,182,182,54.75978757,8.29700482,5.291666666666667,
183,183,183,54.73219748,8.6880067,5.25,
185,185,185,54.63344017,8.38492638,5.75,
186,186,186,54.50258302,8.70305048,5.25,
187,187,187,54.47470223,9.83599307,2.7916666666666665,
188,188,188,54.47394247,9.02585594,5.25,
189,189,189,54.26591826,8.84211831,5.208333333333333,
190,190,190,54.26586489,8.84958039,3.1666666666666665,
191,191,191,54.18052298,7.89080439,5.75,
194,194,194,54.1233805,8.86015778,5.25,
195,195,195,54.31632455,8.95122149,3.1666666666666665,
196,196,196,46.497501,-1.7938,11.375,
197,197,197,54.033298,-2.9166701,7.25,
198,198,198,54.483299,-0.61667001,2.75,
199,199,199,54.650002,-3.5666699,6.791666666666667,
200,200,200,54.0854,-4.7680998,9.25,
201,201,201,54.282497,-0.3902857,11.458333333333334,
202,202,202,54.916698,9.7833004,2.7916666666666665,
203,203,203,47.140383,-2.24635,11.875,
204,204,204,47.277222,-1.8898,22.75,
205,205,205,54.1222,8.8591995,3.9166666666666665,
206,206,206,54.730999,8.6870003,4.041666666666667,
207,207,207,54.474998,9.8369999,2.6666666666666665,
208,208,208,54.265999,8.842,3.7916666666666665,
209,209,209,54.796001,9.434,2.625,
210,210,210,54.178902,7.8899999,4.0,
211,211,211,54.757999,8.2959995,4.458333333333333,
212,212,212,54.472,9.0249996,4.041666666666667,
213,213,213,54.82333,9.6549997,2.625,
214,214,214,54.966702,8.6660004,4.791666666666667,
215,215,215,47.205379,-1.76513,50.291666666666664,
216,216,216,54.488632,-0.61463588,16.666666666666668,
217,217,217,54.632,8.3839998,32.875,
219,219,219,55.206778,-6.656833,19.875,
220,220,220,45.853409,-1.17782,10.916666666666666,
221,221,221,55.627583,-6.189917,0.625,
222,222,222,55.3717,-7.3344,6.833333333333333,
223,223,223,55.200001,-6.6666999,6.916666666666667,
224,224,224,55.627399,-6.1901002,6.0,
225,225,225,55.3717,-7.3343201,37.791666666666664,
227,227,227,55.749806,-4.906333,31.083333333333332,
229,229,229,55.01826759,8.44140467,5.291666666666667,
230,230,230,47.193451,-1.63367,59.541666666666664,
231,231,231,55.4667,8.4333,6.291666666666667,
232,232,232,55.989799,-3.1803999,3.4583333333333335,
233,233,233,55.749699,-4.9046998,6.875,
234,234,234,55.0,-1.4333301,4.666666666666667,
235,235,235,55.5667,9.75,2.1666666666666665,
236,236,236,55.0,9.9833002,2.7916666666666665,
237,237,237,55.266701,9.8832998,2.7916666666666665,
238,238,238,55.466702,8.4333,5.458333333333333,
239,239,239,55.016998,8.441,4.5,
240,240,240,48.641102,-2.0276,8.208333333333334,
241,241,241,55.130798,8.6858997,5.291666666666667,
242,242,242,55.1833,8.6833,3.2083333333333335,
243,243,243,55.087002,8.5654001,4.291666666666667,
244,244,244,55.283298,8.5832996,4.291666666666667,
245,245,245,55.333302,8.6833,4.541666666666667,
247,247,247,56.6231,-6.0630999,6.75,
248,248,248,56.633301,9.8000002,4.208333333333333,
249,249,249,47.305672,-2.0883,32.125,
250,250,250,56.524601,8.1152,16.333333333333332,
251,251,251,56.7075,8.2089996,5.291666666666667,
252,252,252,57.89525,-5.158056,23.291666666666668,
253,253,253,57.8955,-5.1567998,16.5,
256,256,256,57.150002,-2.0833299,10.875,
257,257,257,47.5429,-2.8954,9.291666666666666,
261,261,261,58.216702,-6.3833299,7.0,
262,262,262,58.457199,-5.0496001,11.0,
263,263,263,47.873798,-3.9075999,13.416666666666666,
264,264,264,58.0,7.567,7.916666666666667,
265,265,265,58.440972,-3.086389,9.375,
266,266,266,58.974339,5.730121,9.833333333333334,
267,267,267,58.006377,7.554759,7.75,
268,268,268,58.995212,9.856379,8.791666666666666,
269,269,269,58.974339,5.7301211,9.333333333333334,
270,270,270,58.006378,7.554759,7.333333333333333,
271,271,271,58.995213,9.8563786,8.25,
272,272,272,58.4333,-3.0833299,6.25,
273,273,273,47.88092,-4.1159801,20.791666666666668,
275,275,275,47.644274,-3.445852,16.166666666666668,
277,277,277,45.453671,-0.92304999,50.75,
278,278,278,45.335571,-0.79517001,6.75,
279,279,279,48.359098,-4.78075,9.791666666666666,
280,280,280,45.040482,-0.60351998,24.291666666666668,
281,281,281,48.718426,-3.965679,10.25,
282,282,282,49.917833,-6.317139,30.583333333333332,
283,283,283,49.9179,-6.3155999,11.375,
284,284,284,49.183333,-2.116667,9.291666666666666,
285,285,285,49.92917,1.08449,9.25,
286,286,286,49.481892,0.10598,6.333333333333333,
287,287,287,46.15850067,-1.22064996,10.375,
288,288,288,49.651447,-1.635508,7.75,
289,289,289,49.93,1.085,9.25,
290,290,290,49.481602,0.1056,6.333333333333333,
291,291,291,49.651299,-1.6355,7.75,
293,293,293,49.1833,-2.1166999,8.75,
294,294,294,49.48378,0.11458,4.333333333333333,
