latitude,longitude,CoastType,CVI,Name_closest,Notes_closest,Info_closest,Wave_NC,Wave_Atlantic,Current
50.0,1.0,Harbor area,No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.brgm.fr/en/news/news/coastline-2022-monitoring-campaigns-french-coast",1,0.3,5.2631
50.0,0.75,Small beaches,No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.brgm.fr/en/news/news/coastline-2022-monitoring-campaigns-french-coast",1,0.43,6.6141
49.75,0.75,"Erodible rock and/or cliff, with rock waste and sediments (sand or pebbles) at its base",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.brgm.fr/en/news/news/coastline-2022-monitoring-campaigns-french-coast",1,0.29,5.7105
49.75,0.5,"Erodible rock and/or cliff, with rock waste and sediments (sand or pebbles) at its base",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.brgm.fr/en/news/news/coastline-2022-monitoring-campaigns-french-coast",1,0.27,5.8718
49.75,0.25,Harbor area,No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.brgm.fr/en/news/news/coastline-2022-monitoring-campaigns-french-coast",1,0.92,9.2117
50.0,1.25,"Erodible rock and/or cliff, with rock waste and sediments (sand or pebbles) at its base",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.brgm.fr/en/news/news/coastline-2022-monitoring-campaigns-french-coast",1,0.3,4.2702
49.5,0.25,"Erodible rock and/or cliff, with rock waste and sediments (sand or pebbles) at its base",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.brgm.fr/en/news/news/coastline-2022-monitoring-campaigns-french-coast",1,118.4,6.2826
49.5,-1.0,"Erodible rock and/or cliff, with rock waste and sediments (sand or pebbles) at its base",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.brgm.fr/en/news/news/coastline-2022-monitoring-campaigns-french-coast",1,0.04,12.5462
49.5,-1.25,Heterogeneous beach,No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.brgm.fr/en/news/news/coastline-2022-monitoring-campaigns-french-coast",1,0.0,7.2967
49.75,-2.0,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",,,,,1,0.0,3.2621
49.75,-1.75,Beach with rocky platform,No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.brgm.fr/en/news/news/coastline-2022-monitoring-campaigns-french-coast",1,0.0,5.858
51.0,1.75,Harbor area,No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.brgm.fr/en/news/news/coastline-2022-monitoring-campaigns-french-coast",1,1.59,8.1439
50.75,1.5,"Erodible rock and/or cliff, with rock waste and sediments (sand or pebbles) at its base",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.brgm.fr/en/news/news/coastline-2022-monitoring-campaigns-french-coast",1,3.43,7.7735
49.5,0.0,"Erodible rock and/or cliff, with rock waste and sediments (sand or pebbles) at its base",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.brgm.fr/en/news/news/coastline-2022-monitoring-campaigns-french-coast",1,25.42,8.726
49.5,0.5,Estuary,No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.brgm.fr/en/news/news/coastline-2022-monitoring-campaigns-french-coast",1,0.07,4.5649
49.5,-1.75,"Muddy coastline, including tidal flat, salt marsh",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.brgm.fr/en/news/news/coastline-2022-monitoring-campaigns-french-coast",1,0.0,2.2674
49.75,-1.25,Beach with rocky platform,No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.brgm.fr/en/news/news/coastline-2022-monitoring-campaigns-french-coast",1,0.51,14.0669
49.75,-1.5,Beach with rocky platform,No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.brgm.fr/en/news/news/coastline-2022-monitoring-campaigns-french-coast",1,0.03,9.1876
50.5,1.5,Estuary,No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.brgm.fr/en/news/news/coastline-2022-monitoring-campaigns-french-coast",1,0.44,5.2819
50.25,1.5,"Muddy coastline, including tidal flat, salt marsh",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.brgm.fr/en/news/news/coastline-2022-monitoring-campaigns-french-coast",1,0.41,5.5644
50.25,1.75,Harbor area,,,,,1,0.51,4.324
50.0,1.5,"Erodible rock and/or cliff, with rock waste and sediments (sand or pebbles) at its base",,,,,1,0.48,4.4233
49.5,-2.0,Coastal embankment with construction,,,,,1,0.0,2.0815
55.25,-7.5,Pocket beaches (< 200 m long),No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,72.77,32.5639
54.25,-9.25,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.0,0.7348
53.75,-9.75,Sand beach fronting upland (> 1 Km long),No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.0,0.5467
53.25,-9.75,Beach with rocky platform,No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.0,1.3495
53.0,-9.75,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",,,,,1,0.0,1.6468
54.5,-8.5,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,1.01,9.7926
54.5,-8.75,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",,,,,1,1.46,10.8263
54.75,-8.75,Pocket beaches (< 200 m long),No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,1.83,10.0168
55.25,-7.75,Pocket beaches (< 200 m long),No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,36.71,10.9303
51.75,-8.5,Estuary,,,,,1,0.0,1.7438
54.25,-8.5,Sand beach fronting upland (> 1 Km long),No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,1.38,9.0705
51.75,-9.75,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.0,2.3016
51.75,-10.0,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.0,2.3652
55.0,-7.5,Gravel beach fronting upland (> 1 km long),No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,2.44,10.212
55.0,-7.75,"Artificial shoreline (walk, dike, quay) without beach",,,,,1,0.53,3.0403
54.75,-8.5,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,2.86,9.2541
55.0,-8.5,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,2.88,7.2015
55.0,-8.25,Pocket beaches (< 200 m long),No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.97,3.8953
51.75,-8.25,Pocket beaches (< 200 m long),No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx
",1,0.0,1.926
54.5,-8.25,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.36,7.2529
53.25,-6.0,Gravel beach fronting upland (> 1 km long),Lower,"Caloca-Casado, S., 2018. Coastal vulnerability assessment of county Dublin and county Wicklow to impacts of sea level rise. Doctoral dissertation, National University of Ireland, Maynooth (Ireland).","Coastal vulnerability is assessed on the basis of regional coastal slope, geomorphology, mean tidal range, relative sea-level rise, wave height, shoreline change, aspect and cliff type",,3,0.73,3.3627
53.25,-9.0,Gravel beach fronting upland (> 1 km long),No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.64,10.3839
51.75,-8.75,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.0,1.6475
52.5,-9.5,Coastal embankment with construction,No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.0,2.6379
52.75,-9.5,Gravel beach fronting upland (> 1 km long),No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.0,2.9287
51.75,-9.5,Pocket beaches (< 200 m long),No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.0,1.9318
55.25,-7.0,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,136.2,673.1111
55.25,-7.25,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,70.94,103.9228
55.0,-7.25,Coastal embankment with construction,No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,77.26,49.3759
52.25,-10.25,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.0,1.0401
51.5,-9.5,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.0,1.6967
51.5,-10.0,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.0,2.4036
53.75,-10.0,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",,,,,1,0.0,0.5135
54.25,-8.75,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,1.78,8.5954
54.0,-10.0,Coastal embankment with construction,No data,,,"Coastal vulnerability data are not publicly available yet. For more information please visit 
https://www.gsi.ie/en-ie/programmes-and-projects/marine-and-coastal-unit/projects/Pages/Coastal-Vulnerability-Index.aspx",1,0.0,0.4248
