station,u10_mean,u10_std,u10_q95,u10_q99,v10_mean,v10_std,v10_q95,v10_q99,d2m_mean,d2m_std,d2m_q95,d2m_q99,t2m_mean,t2m_std,t2m_q95,t2m_q99,msl_mean,msl_std,msl_q95,msl_q99,sst_mean,sst_std,sst_q95,sst_q99,sp_mean,sp_std,sp_q95,sp_q99,tp_mean,tp_std,tp_q95,tp_q99,mwd_mean,mwd_std,mwd_q95,mwd_q99,mwp_mean,mwp_std,mwp_q95,mwp_q99,swh_mean,swh_std,swh_q95,swh_q99,tide_mean,tide_std,tide_q95,tide_q99,residual_mean,residual_std,residual_q95,residual_q99,residual_is_deviant_mean,residual_is_deviant_std,residual_is_deviant_q95,residual_is_deviant_q99,magnitude_mean,magnitude_std,magnitude_q95,magnitude_q99,wind_dir_mean,wind_dir_std,wind_dir_q95,wind_dir_q99,u10_abs_mean,u10_abs_std,u10_abs_q95,u10_abs_q99,v10_abs_mean,v10_abs_std,v10_abs_q95,v10_abs_q99,wind_wave_diff_mean,wind_wave_diff_std,wind_wave_diff_q95,wind_wave_diff_q99,wind_wave_alignment_mean,wind_wave_alignment_std,wind_wave_alignment_q95,wind_wave_alignment_q99,tau_u_mean,tau_u_std,tau_u_q95,tau_u_q99,tau_v_mean,tau_v_std,tau_v_q95,tau_v_q99,tau_mag_mean,tau_mag_std,tau_mag_q95,tau_mag_q99,u10_annmaxmean,u10_annmaxmax,v10_annmaxmean,v10_annmaxmax,d2m_annmaxmean,d2m_annmaxmax,t2m_annmaxmean,t2m_annmaxmax,msl_annmaxmean,msl_annmaxmax,sst_annmaxmean,sst_annmaxmax,sp_annmaxmean,sp_annmaxmax,tp_annmaxmean,tp_annmaxmax,mwd_annmaxmean,mwd_annmaxmax,mwp_annmaxmean,mwp_annmaxmax,swh_annmaxmean,swh_annmaxmax,tide_annmaxmean,tide_annmaxmax,residual_annmaxmean,residual_annmaxmax,residual_is_deviant_annmaxmean,residual_is_deviant_annmaxmax,magnitude_annmaxmean,magnitude_annmaxmax,wind_dir_annmaxmean,wind_dir_annmaxmax,u10_abs_annmaxmean,u10_abs_annmaxmax,v10_abs_annmaxmean,v10_abs_annmaxmax,wind_wave_diff_annmaxmean,wind_wave_diff_annmaxmax,wind_wave_alignment_annmaxmean,wind_wave_alignment_annmaxmax,tau_u_annmaxmean,tau_u_annmaxmax,tau_v_annmaxmean,tau_v_annmaxmax,tau_mag_annmaxmean,tau_mag_annmaxmax,lat,lon,coast_bearing_deg,coast_normal1_deg,coast_normal2_deg,wind_to_mean_deg,wind_vs_coast_normal_diff_deg,wind_more_alongshore_deg
1,5.444261,6.467723,15.987159729003906,18.885734558105465,6.2643023,6.3506145,15.414497375488278,17.36559600830078,283.4133,3.260126,288.3157501220703,289.9234558105469,285.8736,2.8382623,290.3882690429688,291.7736895751953,99490.836,1175.2799,101388.3875,102026.00375,285.73132,2.0894876,288.844384765625,290.051240234375,99258.69,1173.4281,101151.27109375,101790.3265625,0.000757794,0.00090268767,0.0027939796447753896,0.003726353645324706,,,,,,,,,,,,,-0.3323069801181359,1.4742391871136888,2.200424919634162,2.6866116057837837,0.48272175,0.19363213,0.838006144762039,1.0492895293235778,0.0,0.0,0.0,0.0,50.120804,47.017296,147.07420501708984,205.862571105957,107.81162,110.0986,351.1088500976563,358.8002410888672,6.926032,4.843082,15.987159729003906,18.885734558105465,7.599043,4.666888,15.414497375488278,17.36559600830078,,,,,,,,,0.71401536,1.1112454,3.181382036209103,4.902946777343749,0.72934794,1.0961312,2.8552764177322363,4.758960103988647,7.51211,13.081803,34.44708480834961,67.48935913085934,13.942189,21.299103,13.780536,20.684235,287.69626,290.46896,289.73883,297.9201,100920.98,103507.44,288.45468,290.26782,100686.836,103259.17,0.0021266546,0.0045437813,,,,,,,1.5809360316046348,3.2399897230085344,0.7630015,1.4587858,0.0,0,118.57987,237.98804,263.83517,359.77692,13.973586,21.299103,13.867824,20.684235,,,,,2.370391,6.1728888,2.3017874,6.8981705,25.98391,90.1965,48.383,-4.495,237.672610261604,327.672610261604,147.672610261604,287.8116,-39.86099527136963,50.13900472863037
2,5.6406717,6.485263,16.039430236816404,19.071525573730458,6.324356,6.2798734,15.439537048339838,17.38368743896484,283.41962,3.284558,288.6227233886719,290.01824340820315,285.85638,2.7959185,290.4849853515625,291.72938537597656,99472.914,1171.4858,101332.91875,101977.47,285.7446,2.0699627,288.849560546875,289.83083496093747,99240.81,1169.6245,101093.9296875,101742.11953124999,0.00073880545,0.0008937573,0.0027393817901611296,0.00376801013946533,,,,,,,,,,,,,-0.3362679602025297,1.457301559064316,2.152923588665229,2.6394844062611873,0.48281506,0.19449042,0.8367992758750914,1.0506160902976989,0.0,0.0,0.0,0.0,51.34337,47.153038,145.63977661132805,205.31530456542964,105.32279,108.5714,350.9848388671875,358.8181121826172,7.084701,4.8621473,16.039430236816404,19.071525573730458,7.6119876,4.6314783,15.439537048339838,17.38368743896484,,,,,,,,,0.73648834,1.1268022,3.2024469852447464,4.7665076255798215,0.7451336,1.0974563,2.8213293313980086,4.786665487289428,7.730695,13.092723,33.779824066162064,67.13161712646482,14.108234,21.299103,13.764299,20.684235,287.74493,290.43558,289.66092,292.459,100887.57,103507.44,288.4872,290.26782,100653.53,103259.17,0.002094984,0.0045437813,,,,,,,1.5676506754095425,3.243174787778948,0.7632248,1.4538819,0.0,0,120.09791,237.98804,267.90042,359.83902,14.145872,21.299103,13.844412,20.684235,,,,,2.4221048,6.1728888,2.3187008,6.8981705,26.416685,90.1965,48.383,-4.5,237.67351606888667,327.67351606888667,147.67351606888667,285.32278,-42.350731645058545,47.649268354941455
3,5.5372815,6.501225,15.994964599609375,18.854166870117187,6.1996584,6.277372,15.329153442382811,17.30941101074219,283.3576,3.3763285,288.622900390625,290.1204467773438,285.81195,2.8496213,290.48638916015625,291.7319641113281,99526.99,1196.4369,101393.175,102034.3775,285.74905,2.0814114,288.87021484375,289.5523828125,99294.7,1194.3428,101156.415625,101798.525,0.00074902416,0.00091833464,0.0028142929077148433,0.003769311904907227,,,,,,,,,,,,,-0.3552503922333602,1.4584674983562858,2.145604734054456,2.6533310512798587,0.48564819,0.20549093,0.8451950430870055,1.1958274602890024,0.0,0.0,0.0,0.0,50.751953,46.82735,144.67447204589843,202.51106567382817,106.94376,108.6864,350.1607727050781,358.6536767578125,7.043221,4.8245826,15.994964599609375,18.854166870117187,7.5076737,4.62974,15.329153442382811,17.30941101074219,,,,,,,,,0.7308875,1.0927277,3.1686017990112303,4.248740043640138,0.7263907,1.0898334,2.800396585464477,4.7875312805175785,7.58587,12.795323,33.33227767944335,65.32095214843753,13.895708,21.299103,13.644733,20.684235,287.80994,290.6476,289.68924,292.61322,100966.74,103507.44,288.49432,290.26782,100732.29,103259.17,0.0021345848,0.0045437813,,,,,,,1.5638888649906368,3.2412072121315725,0.7867873,1.453062,0.0,0,119.14449,237.98804,264.94217,359.77692,13.934229,21.299103,13.766473,20.684235,,,,,2.3494852,5.3890977,2.3014205,6.8981705,25.884802,90.1965,48.38290024,-4.49503994,237.67262524279437,327.67262524279437,147.67262524279437,286.94376,-40.72886913927874,49.27113086072126
4,2.2685714,6.408777,12.657001495361328,15.923358306884765,5.4730163,5.8449845,13.452732086181639,15.753302307128905,282.85635,3.5643559,288.7165298461914,289.73004150390625,285.50113,3.6213503,291.12182159423827,292.6794799804687,99574.07,1123.387,101272.13125,102073.278125,285.8843,3.396805,291.00115966796875,291.8171240234375,99529.08,1123.1482,101226.3578125,102027.306875,0.00080180005,0.001021752,0.002886700630187988,0.0038197660446166984,212.31242,59.69433,290.48597412109376,322.6813757324219,5.3948145,1.4946381,8.134735441207885,10.515367441177368,1.3437685,0.65881574,2.5695798277854918,3.001912724971771,-0.5194574485579807,1.3245895037983015,1.693965804469929,2.148631555227502,0.62925565,0.2835754,1.15076265335083,1.480672310590744,0.0,0.0,0.0,0.0,34.59068,31.658634,93.69716987609856,139.49424255371093,144.8544,130.6523,350.8594345092773,358.300498046875,5.49571,3.9948316,12.829537963867185,15.987694549560546,6.9367967,3.994626,13.516287231445311,15.753302307128905,67.45802,158.63213,209.89118652343748,236.14511962890626,-0.018945914,0.7097621,0.9826715916395188,0.9995660275220871,0.20987135,0.697267,1.447171849012374,2.6395504403114303,0.37009814,0.6866116,1.585791850090026,3.0609046983718855,3.4979196,6.219454,13.98321962356565,30.988052597045897,10.422044,18.42514,11.74531,17.26149,287.26764,290.39304,290.15753,296.89233,100863.96,102648.31,290.50067,292.2339,100818.83,102602.61,0.0021909238,0.006872177,279.22327,349.71237,7.421133,12.430728,2.2524898,3.4159756,1.0818255611698728,2.3798854890027723,1.033006,1.8105942,0.0,0,76.560005,174.12018,311.5657,359.5308,10.946475,18.42514,11.849884,17.26149,201.81592,258.16098,0.78094524,0.99997133,1.0976985,3.5550292,1.2745754,3.76585,11.339875,48.281155,47.266862,-2.20155,237.90055861903517,327.90055861903517,147.90055861903517,324.8544,-3.0461579842695414,86.95384201573046
5,1.8339938,6.6329603,12.658761596679682,15.92524993896485,5.424979,5.4948735,13.503124999999995,16.00613586425782,282.7547,3.6561704,288.6086730957031,289.79805725097657,285.47897,3.6430757,290.8503112792969,292.60904418945313,99652.94,1209.4318,101745.15625,102548.3175,285.83362,3.3644934,290.9861328125,291.4773046875,99607.92,1209.1418,101700.27734375,102503.205625,0.00074215455,0.0009701967,0.002759122848510741,0.004097681045532235,208.24252,63.30902,295.2519989013672,332.5242968750002,5.30055,1.5070345,8.405202579498287,10.030884094238285,1.3152872,0.67394197,2.6249756097793573,3.223554658889772,-0.27492019340483914,1.1942909425552408,1.6754571052990146,2.0935929386637038,0.5194911,0.23341231,0.9504629492759703,1.1043058443069464,0.0,0.0,0.0,0.0,33.314754,30.135254,95.96249008178704,129.80337112426778,161.98079,132.9364,351.9208740234375,357.0561773681641,5.605027,3.9812658,12.807228088378903,16.75775695800783,6.6444283,3.927706,13.503124999999995,16.00613586425782,46.26173,169.61952,209.40825805664062,246.58274322509777,-0.047405113,0.7103789,0.9544855892658233,0.9982327270507814,0.19387276,0.7120218,1.6548183917999244,3.2384775209426926,0.36587942,0.6001718,1.3914712548255916,2.0985777282714855,3.2089026,5.6907053,14.666382980346658,26.83613590240487,9.966295,21.842987,11.125296,17.875671,287.12338,290.30237,289.9281,294.49103,101063.555,102951.125,289.95456,291.7959,101018.27,102903.58,0.0019717258,0.0068278313,277.39905,349.71237,7.3938446,12.203787,2.172993,3.627385,1.0882469993791426,2.4832396529835856,0.8149042,1.4832124,0.0,0,68.157265,174.12018,318.5711,359.48685,10.647224,21.842987,11.251383,17.875671,189.02953,290.2504,0.71474785,0.999954,1.0164626,3.7261934,1.0780157,3.76585,9.288365,48.281155,47.140383,-2.24635,358.5480521448369,88.5480521448369,268.5480521448369,341.98077,73.43272178094435,-16.567278219055652
6,6.1907163,7.560789,17.177349090576175,19.93776824951174,3.9676676,6.769821,14.143142700195314,16.647479705810547,283.58557,3.2824628,288.63977813720703,290.0715591430664,286.0776,2.9021401,290.67054443359376,291.83860260009766,99504.21,1170.3413,101361.271875,102037.75375,286.29654,2.3752298,290.05089111328124,290.66432373046877,99435.68,1169.8994,101292.683203125,101967.419453125,0.0007352537,0.0010655723,0.0029760122299194343,0.004613914489746096,235.45583,38.6879,285.4268798828125,310.9427307128909,7.9615517,1.8106682,11.191683912277222,12.507515916824348,2.7530234,1.5171465,5.706555581092836,6.983562583923341,-0.19446544558142054,1.04558379779488,1.5694918581369457,2.0330060169060657,0.42282096,0.17981079,0.7350828528404236,0.9043604081869127,0.0,0.0,0.0,0.0,51.598244,52.32146,163.51866836547853,210.4015721130374,110.58501,97.47426,331.1856872558594,355.81134948730477,8.214557,5.2836747,17.177349090576175,19.93776824951174,6.4530663,4.4549956,14.823050689697268,18.01307983398441,124.87082,110.77095,217.58587951660158,237.85122070312502,-0.038964447,0.70437527,0.9871396064758301,0.999610071182251,0.8283128,1.3628542,3.754495203495026,5.280008478164675,0.5477157,1.2557296,2.922860574722291,5.395699882507326,8.5853,15.081724,42.58100414276124,70.51326332092303,14.672004,26.36583,11.317479,18.554214,287.68753,291.2863,289.85858,293.2597,100944.875,102658.19,289.36295,291.1714,100875.89,102588.27,0.0021889254,0.009082794,271.4533,353.0394,10.272684,14.307749,4.8082447,8.04835,1.0395224546291093,2.263763170059026,0.6731867,1.2808826,0.0,0,123.802505,243.04007,245.03938,358.90543,15.050755,26.36583,12.098387,19.803558,203.59277,277.53287,0.73320764,0.9999958,2.7118442,7.686948,2.1457274,6.3872957,28.946539,94.06655,47.644274,-3.445852,271.7314221040323,1.7314221040322764,181.73142210403228,290.58502,-71.14640013137603,18.853599868623974
7,6.056985,6.936361,16.58538818359375,20.40078735351563,7.4962034,6.359625,16.336593627929688,19.369189453125017,283.55463,3.2255883,289.20684814453125,290.2016662597656,286.10544,2.8025413,290.69171142578125,291.660888671875,99507.79,1172.9807,101194.25,101932.8625,285.99136,2.2689843,289.651611328125,290.5779296875,99430.12,1172.4052,101115.53125,101855.0703125,0.00067364686,0.00088355324,0.0025930404663085938,0.0037759780883789068,,,,,,,,,,,,,-0.16820197973066472,1.599716234621445,2.415431000254282,2.8694341093669182,0.43575716,0.17801617,0.7367947697639465,1.0502802729606642,0.0,0.0,0.0,0.0,63.71314,59.511135,173.1890869140625,226.75867614746102,107.705666,112.88582,350.01641845703125,356.2248291015625,7.592235,5.2050595,16.58538818359375,20.40078735351563,8.4760685,4.9744587,16.336593627929688,19.369189453125017,,,,,,,,,1.0106875,1.5269942,4.106777191162109,5.788988304138186,1.1019685,1.4434025,4.193182468414307,5.584583663940432,12.086926,18.939995,47.766178131103516,81.90052490234382,14.232635,25.628525,14.570423,20.24858,287.753,291.10855,289.71082,293.2882,100924.61,102383.25,289.0884,290.92554,100846.16,102303.6,0.0019398862,0.004072666,,,,,,,1.6970578456728465,3.3549530027541317,0.66762066,1.3519646,0.0,0,157.25789,247.11522,271.65704,359.01233,14.595667,25.628525,14.948338,20.24858,,,,,3.3993044,8.923952,3.3364003,7.4659142,42.98399,97.2475,48.359098,-4.78075,347.9072213098951,77.90722130989508,257.9072213098951,287.70566,29.798436649089297,-60.2015633509107
8,5.701366,7.050966,16.858253479003906,21.174880371093746,6.230434,5.5435753,13.91551055908203,15.701701965332031,283.20413,3.4627728,288.8318725585938,289.72371765136717,285.818,3.1080618,290.9748077392578,291.9845300292969,99586.14,1151.1494,101289.14375,102079.67375,285.75204,2.3037546,289.262109375,289.6310986328125,99383.805,1149.693,101082.52890625,101870.57046875,0.0004724804,0.0007792816,0.002309656143188476,0.003566265106201172,236.67958,56.932343,285.7344451904297,318.7212243652344,8.204744,2.0279953,11.854396533966062,13.070929889678954,2.9804168,1.7380592,6.302028799057006,7.728858013153076,-0.7539063559495583,1.9411377822148859,2.5601249130761863,3.404508921643117,0.4542607,0.16714682,0.7378978013992309,0.9576884484291076,0.0,0.0,0.0,0.0,55.872524,52.762802,163.0411956787109,221.78686401367187,106.80011,107.83455,340.6464782714844,357.25010192871093,7.4777427,5.121382,16.858253479003906,21.174880371093746,7.2272973,4.1559434,13.91551055908203,15.701701965332031,129.87949,133.99068,227.995361328125,258.9794622802734,0.017507462,0.72279394,0.9827289998531341,0.9992707073688507,0.89391613,1.4348718,3.939945220947265,5.823197793960571,0.8211529,1.1288828,2.8990475177764887,4.7513771247863765,9.390311,16.075733,42.3390270233154,78.33765747070312,14.920895,23.507553,12.678651,18.794449,288.04187,290.40686,290.22116,293.70663,100962.37,103516.69,288.95895,289.96045,100758.555,103302.52,0.0015331507,0.0047135353,280.43994,355.2127,11.096671,16.610195,5.640866,9.661693,1.8994279104615326,3.6321077110391555,0.6953042,1.3402249,0.0,0,136.65875,256.98294,258.3477,358.29785,14.953434,23.507553,12.714346,18.794449,220.49303,278.03827,0.87267184,0.9999762,3.0857272,9.620357,2.577672,6.3527107,33.738598,105.169075,48.718426,-3.965679,193.91009250125492,283.9100925012549,103.91009250125492,286.8001,2.890017362026356,92.89001736202636
9,1.394058,6.3401055,13.005415344238273,15.935115661621067,3.2658513,6.0500174,11.48333587646484,13.924797363281249,282.57834,4.375436,289.3125885009766,291.54876953125,285.26462,4.513328,292.0932861328125,294.3461633300781,99710.41,1204.1306,101610.6625,102496.665,285.98923,3.837315,291.5697021484375,292.8607275390625,99486.266,1202.9658,101381.83125,102264.921875,0.0006837521,0.0010182563,0.0028882026672363255,0.0046791553497314425,205.79956,79.62962,319.8828552246093,353.22812133789057,4.5679016,1.2434196,6.932838058471678,8.08948511123657,0.9277673,0.51191103,1.815549170970916,2.2552249193191516,-0.5212948054328804,1.2718571615429994,1.6798318422864214,2.0361701075866043,0.5617525,0.25301605,1.0376108527183527,1.2856774044036852,0.0,0.0,0.0,0.0,28.04492,26.665749,83.87407150268552,110.54390884399398,157.40912,122.461006,346.8808624267578,354.8842364501953,5.236252,3.8231838,13.237022399902342,15.935115661621067,5.849503,3.5992346,11.890594482421868,13.924797363281249,48.390446,168.21323,203.75848541259762,230.77951263427718,-0.008314801,0.71434176,0.9831622838973999,0.9995534455776215,0.12794124,0.5990413,1.3031774997711179,2.1539532399177435,0.17809707,0.5111225,0.9757750988006565,1.578612258434295,2.3802357,4.071871,11.203174114227288,19.501497154235782,9.219958,17.975693,9.963894,16.904022,287.80948,292.79346,290.7326,296.2394,101084.2,102873.875,290.6799,293.9204,100858.695,102641.78,0.0020475658,0.006214142,295.79758,357.72073,6.313677,9.758896,1.5770386,2.414733,0.9685548956288437,2.557017516776745,0.8874996,1.5183618,0.0,0,65.9545,119.8695,302.06516,358.46628,10.408912,17.975693,10.516677,16.904022,190.58023,262.52597,0.74708265,0.9999998,0.8578891,3.2883928,0.7884909,2.492675,8.133375,22.88215,46.15850067,-1.22064996,337.81207480958966,67.81207480958966,247.81207480958966,337.40912,89.59704384275409,-0.40295615724591016
10,2.0276227,6.593917,13.129052734374994,16.84024597167968,1.531536,5.754183,9.902432250976558,11.526746826171873,281.9932,4.0258093,288.26292724609374,289.4417822265625,284.73065,4.2326903,290.72857666015625,293.7534130859375,99660.3,1196.9045,101415.9,102109.5475,285.90436,3.762847,291.5392578125,293.012646484375,99435.78,1195.6288,101189.284375,101883.588125,0.0005396881,0.00076143176,0.0020564079284667966,0.0033696746826171807,213.39624,83.1913,298.7701782226562,325.52509643554686,4.947561,1.4865309,7.80696449279785,9.390230484008782,0.89089596,0.48857749,1.8502849340438838,2.181946058273315,-0.2159566760383346,1.1056117135465524,1.4125553749665047,1.8246273296640347,0.5181229,0.27380964,1.021216320991516,1.3539250993728635,0.0,0.0,0.0,0.0,26.580814,28.15225,85.44387664794921,121.37569732666014,161.3343,113.677986,342.3883544921875,357.3131225585937,5.6389165,3.9593306,13.129052734374994,16.84024597167968,4.9244895,3.333588,11.2861083984375,12.054993896484374,52.061935,164.30138,211.9783752441406,229.2901269531249,-0.026923055,0.6987231,0.9908595561981202,0.999175751209259,0.13561787,0.60953695,1.2963866233825683,2.228220033645628,0.026324375,0.55635005,0.7298823714256281,1.0945315122604364,2.3819737,4.7296543,11.626311874389648,23.461216888427728,9.522243,17.574356,7.4936743,15.601959,286.5252,289.61346,289.47195,298.09302,101083.29,103437.56,290.329,293.91064,100857.93,103193.234,0.0014426443,0.004087925,281.73172,358.24777,6.842887,10.8062935,1.4786727,2.414733,1.051473356330872,1.8604471983037305,0.8347597,1.5878131,0.0,0,62.389484,127.27708,295.73093,359.23276,10.787579,17.574356,8.499474,15.601959,188.91464,267.02652,0.7696333,0.9994832,0.8291983,3.2854993,0.50100726,2.5958219,8.042871,25.79763,45.56848,-1.061555,128.1237290590198,218.1237290590198,38.12372905901981,341.3343,-56.78943950823856,-146.78943950823856
