station,block_time,extract_time,u10,v10,d2m,t2m,msl,sst,sp,tp,mwd,mwp,swh,tide,residual,residual_is_deviant,magnitude,wind_dir,u10_abs,v10_abs,wind_wave_diff,wind_wave_alignment,tau_u,tau_v,tau_mag,lat,lon
1,1952-09-30,1952-09-30 12:00:00,1.0545502,-3.109146,285.80115,287.14615,97898.44,286.74365,97670.66,0.0010185242,,,,1.624385610726354,0.5646632,0,3.2787507,161.26425,1.0545502,3.109146,,,0.0055062394,-0.016234128,0.017119704,48.383,-4.495
1,1952-11-30,1952-11-27 17:00:00,10.697113,5.9365234,281.93515,283.97467,98755.31,284.9934,98523.47,0.00023698807,,,,-1.2954974819428036,0.5845464,0,63.503662,60.971256,10.697113,5.9365234,,,1.0817946,0.6003581,6.4220986,48.383,-4.495
1,1953-01-31,1952-12-13 00:00:00,10.812012,-2.7414093,277.67975,281.84796,99196.75,284.45825,98961.78,0.00031232834,,,,1.360386406036592,0.36866233,0,29.64015,104.22763,10.812012,2.7414093,,,0.5103479,-0.12939984,1.3990726,48.383,-4.495
1,1953-03-31,1953-03-19 04:00:00,-5.420212,-1.5982819,279.8624,282.07275,101696.81,282.92554,101457.3,0.0,,,,0.819765066534247,1.0492835,0,8.663026,253.57056,5.420212,1.5982819,,,-0.07477653,-0.022049686,0.11951397,48.383,-4.495
1,1953-05-31,1953-04-05 15:00:00,12.137955,5.4982452,277.39224,282.04468,100337.0,283.03052,100099.94,0.00027036667,,,,-1.2879445330765538,0.5669935,0,66.73746,65.63045,12.137955,5.4982452,,,1.2900146,0.5843502,7.092817,48.383,-4.495
1,1953-07-31,1953-06-21 16:00:00,7.8427124,2.3000488,286.0699,287.77493,100773.625,286.60864,100540.67,0.0010538101,,,,-1.0512196482969571,0.23026842,0,18.03862,73.65505,7.8427124,2.3000488,,,0.2252937,0.06607236,0.51818645,48.383,-4.495
1,1953-09-30,1953-09-21 10:00:00,15.759399,4.532181,283.667,287.34497,99812.375,287.8396,99580.57,0.000101566315,,,,-1.6046968422450598,0.48374566,0,71.424446,73.955505,15.759399,4.532181,,,1.7925282,0.5155058,8.124062,48.383,-4.495
1,1953-11-30,1953-10-27 01:00:00,9.043976,11.470062,285.50244,287.56134,99205.75,287.0459,98975.16,0.0032753944,,,,-2.322681724728466,0.48173052,0,103.73497,38.25526,9.043976,11.470062,,,1.4940462,1.8948306,17.136805,48.383,-4.495
1,1954-01-31,1953-12-03 10:00:00,1.6160583,9.980743,285.01947,287.64713,100236.875,286.35645,100004.32,4.7683716e-07,,,,-0.7513682062892284,0.410417,0,16.129463,9.197374,1.6160583,9.980743,,,0.04151035,0.2563671,0.41430414,48.383,-4.495
1,1954-03-31,1954-03-22 15:00:00,-1.1731567,8.902847,281.86252,284.18582,99648.0,283.22632,99413.56,0.00015735626,,,,0.44681501048841754,0.5322337,0,10.444435,352.4932,1.1731567,8.902847,,,-0.01951284,0.14807895,0.17371982,48.383,-4.495
1,1954-05-31,1954-04-29 22:00:00,-2.6907654,-3.1859589,278.1422,281.8819,101552.375,283.82666,101310.766,0.0,,,,-0.3932122729844351,0.51226085,0,8.572668,220.18344,2.6907654,3.1859589,,,-0.03673426,-0.04349463,0.11703385,48.383,-4.495
1,1954-07-31,1954-06-09 09:00:00,-0.143219,9.773987,284.25018,286.37885,99326.625,285.80518,99095.2,0.00069856644,,,,0.9276565579349213,0.49139223,0,1.3998206,359.1605,0.143219,9.773987,,,-0.00031926582,0.02178831,0.0031205,48.383,-4.495
1,1954-09-30,1954-08-09 06:00:00,-0.66996765,-6.93396,286.70712,288.0805,99358.94,287.69507,99127.86,0.0023450851,,,,-0.96365675594352,0.53270566,0,4.645529,185.51886,0.66996765,6.93396,,,-0.004956424,-0.051297467,0.034367643,48.383,-4.495
1,1954-11-30,1954-11-29 21:00:00,7.493576,18.026627,285.1646,287.15448,97379.5,286.14087,97152.62,0.001024723,,,,0.14030192813056286,1.0387471,0,135.0839,22.572405,7.493576,18.026627,,,1.6120263,3.8779078,29.059397,48.383,-4.495
1,1955-01-31,1954-12-08 23:00:00,10.723434,-1.2725525,274.25098,283.2463,97096.44,285.49463,96866.016,4.7683716e-07,,,,-0.8498045068020783,0.8688532,0,13.646133,96.76765,10.723434,1.2725525,,,0.23303597,-0.027654434,0.2965505,48.383,-4.495
1,1955-03-31,1955-02-03 22:00:00,5.9680176,-6.883377,280.13007,282.49976,98702.19,283.6184,98466.58,0.00096797943,,,,-0.2458678437424737,0.8249165,0,41.080116,139.0741,5.9680176,6.883377,,,0.39042822,-0.4503111,2.6874647,48.383,-4.495
1,1955-05-31,1955-05-16 19:00:00,-4.412979,10.280746,283.815,285.4655,99691.75,284.29248,99458.17,0.0034179688,,,,-0.7925717434004607,0.45162055,0,45.368717,336.7687,4.412979,10.280746,,,-0.31883633,0.7427806,3.2778754,48.383,-4.495
1,1955-07-31,1955-06-08 14:00:00,1.0528259,2.9717712,284.00696,287.2248,100068.94,286.0952,99837.43,6.198883e-06,,,,-0.7344242340784886,0.38347304,0,3.1287577,19.50799,1.0528259,2.9717712,,,0.0052457545,0.01480699,0.015589181,48.383,-4.495
1,1955-09-30,1955-08-18 13:00:00,2.362091,5.1235657,290.46896,291.94775,102072.375,290.26782,101838.72,4.2915344e-06,,,,-0.5152410270118971,0.32428992,0,12.102328,24.750874,2.362091,5.1235657,,,0.045524485,0.09874627,0.23324767,48.383,-4.495
1,1955-11-30,1955-11-01 13:00:00,-4.469284,-0.23277283,274.04694,283.73834,101203.31,286.90723,100965.87,0.0,,,,-0.7445100857611504,1.2435588,0,1.0403279,267.0186,4.469284,0.23277283,,,-0.007404362,-0.0003856399,0.0017235344,48.383,-4.495
1,1956-01-31,1955-12-15 09:00:00,18.879929,-1.1129456,280.70404,284.1919,97444.94,285.6726,97215.766,0.00019645691,,,,-1.5395299564332827,0.6685788,0,21.012333,93.3736,18.879929,1.1129456,,,0.6317628,-0.03724154,0.7031176,48.383,-4.495
1,1956-03-31,1956-03-23 22:00:00,13.121704,4.7088623,280.99493,284.05194,99311.06,282.69507,99077.07,0.00042676926,,,,-1.1705212029420111,0.59957,0,61.788296,70.258934,13.121704,4.7088623,,,1.2911476,0.46334198,6.0798364,48.383,-4.495
1,1956-05-31,1956-05-23 12:00:00,3.6781769,2.465805,283.86166,285.8816,102053.06,285.01416,101815.69,0.0,,,,-0.24653981074843478,0.27558872,0,9.069667,56.162575,3.6781769,2.465805,,,0.053125545,0.03561472,0.13099723,48.383,-4.495
1,1956-07-31,1956-07-29 00:00:00,7.8047028,4.6050262,288.2674,289.92825,99436.625,287.6399,99206.86,0.0014615059,,,,-1.5598905044091147,0.3789394,0,35.94086,59.458023,7.8047028,4.6050262,,,0.4467086,0.26357245,2.0571046,48.383,-4.495
1,1956-09-30,1956-08-25 14:00:00,9.69162,1.6850739,284.81317,288.11676,99794.44,287.15356,99563.29,2.193451e-05,,,,-1.496779415087332,0.49582812,0,16.331095,80.136635,9.69162,1.6850739,,,0.25205258,0.04382417,0.42472717,48.383,-4.495
1,1956-11-30,1956-10-05 07:00:00,2.5042114,-10.37645,277.71628,284.19043,101817.5,287.20557,101577.734,9.2983246e-05,,,,0.5702449697688309,0.48880368,0,25.984823,166.4319,2.5042114,10.37645,,,0.10362635,-0.4293861,1.0752736,48.383,-4.495
1,1957-01-31,1956-12-30 00:00:00,11.780975,-10.557114,281.15622,283.91672,99193.625,284.2964,98959.22,0.00023508072,,,,0.470975407390292,0.75807333,0,124.3731,131.864,11.780975,10.557114,,,2.333389,-2.0909858,24.633854,48.383,-4.495
1,1957-03-31,1957-02-12 23:00:00,12.104507,4.737274,282.73898,284.56537,99384.19,283.31006,99152.484,0.00013589859,,,,-0.6163735654862519,0.56542253,0,57.34237,68.62638,12.104507,4.737274,,,1.105356,0.43259707,5.2363744,48.383,-4.495
1,1957-05-31,1957-05-11 15:00:00,6.951721,3.945755,281.88138,285.3401,100408.375,284.61084,100173.91,3.4332275e-05,,,,2.103593609805366,0.40545532,0,27.429789,60.421013,6.951721,3.945755,,,0.30366465,0.17235823,1.1981864,48.383,-4.495
1,1957-07-31,1957-06-09 06:00:00,2.9929504,3.14711,284.06915,286.3077,100550.69,286.61768,100315.34,3.9100647e-05,,,,-1.6526648268980388,0.33171362,0,9.419145,43.561768,2.9929504,3.14711,,,0.04489422,0.04720661,0.14128706,48.383,-4.495
1,1957-09-30,1957-08-08 23:00:00,0.007247925,-4.3775024,287.64432,288.23904,99452.875,288.29956,99221.95,0.0010046959,,,,-1.3544165146303075,0.5834652,0,0.031727806,179.90512,0.007247925,4.3775024,,,3.662125e-07,-0.00022118002,1.6030959e-06,48.383,-4.495
1,1957-11-30,1957-11-03 23:00:00,17.788406,-3.1099396,281.65442,284.81006,98637.625,286.3037,98406.94,0.0006079674,,,,0.3077059248599699,0.721343,0,55.32087,99.91676,17.788406,3.1099396,,,1.5671318,-0.27398098,4.873685,48.383,-4.495
1,1958-01-31,1957-12-10 18:00:00,3.3250122,16.256927,281.55487,283.82202,97750.31,284.823,97519.78,0.0007891655,,,,2.5851094970069983,0.8339393,0,54.05448,11.559222,3.3250122,16.256927,,,0.28622293,1.399425,4.6531053,48.383,-4.495
1,1958-03-31,1958-02-10 16:00:00,-0.61769104,4.003235,282.50165,284.4931,99025.125,283.2649,98792.8,0.0001707077,,,,-1.8093458941154577,0.67839473,0,2.4727623,351.22855,0.61769104,4.003235,,,-0.0024323894,0.015764235,0.009737426,48.383,-4.495
1,1958-05-31,1958-04-02 23:00:00,-8.037689,-1.0369263,275.63763,281.53647,100497.31,282.77368,100259.43,0.0,,,,-1.4640147821595562,0.36306357,0,8.334491,262.649,8.037689,1.0369263,,,-0.10668165,-0.013762787,0.110621005,48.383,-4.495
1,1958-07-31,1958-06-25 14:00:00,6.3232574,-1.3522186,285.417,287.89313,100271.19,286.55005,100035.586,0.0011382103,,,,-0.6998544184596344,0.4989033,0,8.5504265,102.07079,6.3232574,1.3522186,,,0.08610098,-0.018412558,0.11642735,48.383,-4.495
1,1958-09-30,1958-09-30 13:00:00,9.730408,1.7772827,285.22455,288.16187,99170.5,287.95117,98940.89,5.197525e-05,,,,-1.6574530528626228,0.5365019,0,17.293684,79.64889,9.730408,1.7772827,,,0.2679773,0.04894671,0.47627136,48.383,-4.495
1,1958-11-30,1958-10-03 23:00:00,4.015396,4.370331,285.93683,287.4698,99428.0,287.9004,99196.95,0.00082063675,,,,-0.899927830581099,0.4789767,0,17.548609,42.57634,4.015396,4.370331,,,0.1122149,0.12213396,0.49041623,48.383,-4.495
1,1959-01-31,1958-12-19 06:00:00,3.5681458,16.048752,283.08676,285.16913,97380.0,284.98047,97152.41,0.0007610321,,,,-0.8316339980507907,0.760683,0,57.264286,12.534782,3.5681458,16.048752,,,0.32539126,1.4635398,5.2221236,48.383,-4.495
1,1959-03-31,1959-03-05 01:00:00,8.384628,12.107391,278.34375,282.39984,98705.875,283.19922,98473.58,0.00011062622,,,,1.53411558666014,0.564933,0,101.515976,34.70343,8.384628,12.107391,,,1.3554941,1.9573315,16.411497,48.383,-4.495
1,1959-05-31,1959-04-14 16:00:00,1.5123901,9.378174,281.47546,284.90964,99582.44,284.0713,99350.28,0.00025081635,,,,-0.47779848482658566,0.5568471,0,14.183457,9.161045,1.5123901,9.378174,,,0.03416059,0.21182628,0.32036397,48.383,-4.495
1,1959-07-31,1959-06-24 15:00:00,4.0499573,-1.8197479,288.14722,290.48077,101545.125,287.58594,101312.0,3.8146973e-06,,,,-0.902495600881559,0.28154442,0,7.369901,114.19558,4.0499573,1.8197479,,,0.0475326,-0.021357596,0.086497344,48.383,-4.495
1,1959-09-30,1959-08-13 18:00:00,2.3820953,7.5154724,289.91895,291.3534,100328.19,289.4275,100097.484,0.0001540184,,,,-1.640088349014782,0.31913713,0,17.902573,17.586472,2.3820953,7.5154724,,,0.067913175,0.21426497,0.5103996,48.383,-4.495
1,1959-11-30,1959-11-19 16:00:00,-4.7888336,6.7440033,284.91028,287.13043,100004.875,286.55908,99772.14,0.0009970665,,,,0.9338706530455614,0.5351783,0,32.29591,324.62192,4.7888336,6.7440033,,,-0.24629565,0.34685245,1.6610185,48.383,-4.495
1,1960-01-31,1959-12-07 03:00:00,-5.7053833,14.054016,282.09872,284.9519,97213.81,285.76758,96985.05,0.00012111664,,,,-1.76681072312558,0.8358596,0,80.18355,337.90475,5.7053833,14.054016,,,-0.7285335,1.7945896,10.238822,48.383,-4.495
1,1960-03-31,1960-02-25 00:00:00,-0.7671356,-3.9996796,281.90326,283.05505,99578.44,283.0349,99343.06,0.00034856796,,,,0.36113958634050647,0.6679093,0,3.0682967,190.85744,0.7671356,3.9996796,,,-0.003748426,-0.019543484,0.014992503,48.383,-4.495
1,1960-05-31,1960-04-03 16:00:00,6.4096985,1.4027252,280.69678,283.98755,99963.19,283.6643,99727.625,0.0,,,,-0.9399303556348402,0.45897928,0,8.991046,77.655754,6.4096985,1.4027252,,,0.0917756,0.020084558,0.12873596,48.383,-4.495
1,1960-07-31,1960-07-17 03:00:00,4.8275604,9.824692,286.6645,289.55566,100745.125,288.62134,100513.12,0.0005464554,,,,-1.0822963819347202,0.4613452,0,47.429295,26.168123,4.8275604,9.824692,,,0.3646312,0.7420703,3.5823894,48.383,-4.495
1,1960-09-30,1960-08-13 16:00:00,-2.0720367,2.4657135,285.52658,288.6135,100509.375,288.46558,100275.984,0.00046348572,,,,-1.4589656617447417,0.4380144,0,5.109049,319.95834,2.0720367,2.4657135,,,-0.016858423,0.02006144,0.04156804,48.383,-4.495
1,1960-11-30,1960-11-01 16:00:00,2.9633331,4.4949493,285.00195,287.13345,98622.75,286.98633,98392.88,0.00016784668,,,,1.9345502751048573,0.8344984,0,13.320032,33.3952,2.9633331,4.4949493,,,0.06285867,0.095347546,0.28254652,48.383,-4.495
