,wind_wave_alignment_annmaxmax,bathy_0.1x0.1_PC10,bathy_1x1_PC7,bathy_1x1_PC9,bathy_0.25x0.25_PC9,bathy_1x1_PC10,coastal_vs_bay_diff_deg,wind_wave_alignment_mean,bathy_0.1x0.1_PC6,wind_to_mean_deg,bathy_0.1x0.1_PC7,bathy_0.1x0.1_PC8,wind_wave_alignment_std,wind_wave_alignment_q95,bathy_0.1x0.1_PC9,bathy_0.25x0.25_PC7,coastal_bearing_deg,bathy_0.1x0.1_PC4,bay_bearing_deg,wind_wave_alignment_q99,wind_wave_alignment_annmaxmean,bathy_1x1_PC6,bathy_1x1_PC3,bathy_0.1x0.1_PC2,bathy_1x1_PC4,wind_vs_bay_normal_diff_deg,bathy_1x1_PC2,bathy_0.25x0.25_PC10,bathy_0.25x0.25_PC4,bathy_0.25x0.25_PC2,coastal_normal1_deg,wind_vs_coastal_normal_diff_deg,coastal_normal2_deg,bay_normal1_deg,bay_normal2_deg,bathy_0.25x0.25_PC5,bathy_0.25x0.25_PC6,wind_wave_diff_annmaxmax,tp_annmaxmax,t2m_annmaxmax,msl_std,sp_std,bathy_1x1_PC8,bathy_0.25x0.25_PC8,v10_std,tide_mean,bathy_0.1x0.1_PC1,wind_more_bayshore_deg,bathy_0.1x0.1_PC3,tide_std,bathy_0.25x0.25_PC3,bathy_1x1_PC1,wind_more_coastalshore_deg,bathy_1x1_PC5,wind_wave_diff_annmaxmean,msl_annmaxmax,sst_annmaxmean,sst_annmaxmax,sp_annmaxmax,bathy_0.25x0.25_PC1,bathy_0.1x0.1_PC5,lon_y,wind_wave_diff_q99,tide_annmaxmean,tide_q95,sst_q99,d2m_annmaxmax,wind_wave_diff_q95,u10_abs_annmaxmax,u10_annmaxmax,residual_std,mwd_annmaxmax,tide_q99,sst_q95,v10_abs_annmaxmax,mwp_std,tide_annmaxmax,mwd_std,t2m_q99,residual_annmaxmax,wind_dir_mean,mwp_annmaxmax,wind_dir_annmaxmax,mwp_q99,msl_q99,mwp_q95,sp_q99,sp_q95,t2m_annmaxmean,tau_u_annmaxmax,v10_annmaxmax,lat_y,msl_q95,t2m_q95,d2m_q99,mwp_annmaxmean,residual_q99,swh_annmaxmax,swh_std,u10_abs_std,residual_q95,station
0,,-12.638224,-11.543046,-2.4120872,-10.876427,2.8603318,0.0161208576227238,,24.544355,287.8116,-3.7020433,19.985455,,,16.206364,-3.3814268,237.672610261604,15.908406,237.68873111922673,,,66.21081,12.901158,-34.5108,52.084206,-39.877116128992384,-84.34184,-7.9918423,-0.5876728,-7.228154,327.672610261604,-39.86099527136963,147.672610261604,327.68873111922676,147.68873111922673,-6.071492,-4.202207,,0.0045437813,297.9201,1175.2799,1173.4281,-5.047275,2.0423844,6.3506145,-0.3323069801181359,-7.736839,50.122883871007645,18.823792,1.4742391871136888,-11.794134,-29.556892,50.13900472863037,-21.28983,,103507.44,288.45468,290.26782,103259.17,11.975167,0.37962347,-4.5,,1.5809360316046348,2.200424919634162,290.051240234375,290.46896,,21.299103,21.299103,0.19363213,,2.6866116057837837,288.844384765625,20.684235,,3.2399897230085344,,291.7736895751953,1.4587858,107.81162,,359.77692,,102026.00375,,101790.3265625,101151.27109375,289.73883,6.1728888,20.684235,48.383,101388.3875,290.3882690429688,289.9234558105469,,1.0492895293235778,,,4.843082,0.838006144762039,1
1,,-13.462965,-11.437042,-2.2524366,-11.105208,2.6718974,3.422661868969783,,23.730606,285.32278,-0.94889444,22.846222,,,17.391901,-3.3778563,237.67351606888667,16.522892,241.09617793785645,,,66.008415,13.210579,-31.29217,51.90839,-45.77339351402833,-83.55777,-6.6491604,-1.2242099,-7.601234,327.67351606888667,-42.350731645058545,147.67351606888667,331.09617793785645,151.09617793785645,-5.4701324,-4.732731,,0.0045437813,292.459,1171.4858,1169.6245,-5.2732816,2.406026,6.2798734,-0.3362679602025297,-6.485706,44.22660648597167,24.048542,1.457301559064316,-11.945172,-29.108143,47.649268354941455,-21.57618,,103507.44,288.4872,290.26782,103259.17,12.227334,-4.6160293,-4.49503994,,1.5676506754095425,2.152923588665229,289.83083496093747,290.43558,,21.299103,21.299103,0.19449042,,2.6394844062611873,288.849560546875,20.684235,,3.243174787778948,,291.72938537597656,1.4538819,105.32279,,359.83902,,101977.47,,101742.11953125,101093.9296875,289.66092,6.1728888,20.684235,48.38290024,101332.91875,290.4849853515625,290.01824340820315,,1.0506160902976989,,,4.8621473,0.8367992758750914,2
2,,11.6801815,1.9336302,2.788148,22.45758,-10.959975,0.0161205914724575,,-4.722931,286.94376,-10.179161,-9.723801,,,-12.047857,-10.176153,237.67262524279437,-12.721681,237.68874583426685,,,8.553364,17.570988,40.248085,-0.044347268,-40.74498973075117,-6.214519,-16.710047,-10.425341,13.345201,327.67262524279437,-40.72886913927874,147.67262524279437,327.6887458342668,147.68874583426685,5.4583406,0.70081294,,0.0045437813,292.61322,1196.4369,1194.3428,4.26183,8.051715,6.277372,-0.3552503922333602,33.85623,49.2550102692488,-12.41224,1.4584674983562858,19.872843,28.937555,49.27113086072126,7.656049,,103507.44,288.49432,290.26782,103259.17,47.772427,10.448724,-2.20155,,1.5638888649906368,2.145604734054456,289.5523828125,290.6476,,21.299103,21.299103,0.20549093,,2.6533310512798587,288.87021484375,20.684235,,3.2412072121315725,,291.7319641113281,1.453062,106.94376,,359.77692,,102034.3775,,101798.525,101156.415625,289.68924,5.3890977,20.684235,47.266862,101393.175,290.48638916015625,290.1204467773438,,1.1958274602890024,,,4.8245826,0.8451950430870055,3
3,0.99997133,10.712302,-2.3762689,-2.529119,7.3787436,-7.668228,0.0938656317439097,-0.018945914,-18.337221,324.8544,-7.9463816,-13.205403,0.7097621,0.9826715916395188,-1.4247594,-0.7238892,237.90055861903517,-5.9523344,237.99442425077908,0.9995660275220872,0.78094524,11.401572,17.684584,-19.588943,-7.7326636,-3.1400236160134227,0.8887471,2.0935018,-17.686237,17.011131,327.90055861903517,-3.0461579842695414,147.90055861903517,327.99442425077905,147.99442425077908,-20.232634,-11.622146,258.16098,0.006872177,296.89233,1123.387,1123.1482,-3.3511078,10.984806,5.8449845,-0.5194574485579807,58.53026,86.85997638398658,13.103577,1.3245895037983015,-4.305372,35.62605,86.95384201573046,9.45989,201.81592,102648.31,290.50067,292.2339,102602.61,59.665924,-25.805662,-2.24635,236.14511962890623,1.0818255611698728,1.693965804469929,291.8171240234375,290.39304,209.89118652343748,18.42514,18.42514,0.2835754,349.71237,2.148631555227502,291.00115966796875,17.26149,1.4946381,2.3798854890027723,59.69433,292.6794799804687,1.8105942,144.8544,12.430728,359.5308,10.515367441177368,102073.278125,8.134735441207885,102027.306875,101226.3578125,290.15753,3.5550292,17.26149,47.140383,101272.13125,291.12182159423827,289.73004150390625,7.421133,1.480672310590744,3.4159756,0.65881574,3.9948316,1.15076265335083,4
4,0.999954,18.541527,-9.173664,-14.75579,10.560798,42.099953,0.5817810403423778,-0.047405113,-19.102081,341.98077,-10.349342,42.978275,0.7103789,0.9544855892658232,2.2905886,-12.096092,358.5480521448369,-12.368001,357.9662711044945,0.9982327270507814,0.71474785,-21.12348,-22.930252,39.680565,7.033666,74.01450282128673,7.0073166,-4.563287,-29.184378,14.020638,88.5480521448369,73.43272178094435,268.5480521448369,87.96627110449452,267.9662711044945,19.855198,5.659926,290.2504,0.0068278313,294.49103,1209.4318,1209.1418,-13.038682,6.350632,5.4948735,-0.2749201934048391,-83.05153,-15.985497178713274,36.334652,1.1942909425552408,-43.9503,-29.840017,-16.567278219055652,-0.67782223,189.02953,102951.125,289.95456,291.7959,102903.58,-31.556437,5.000475,-3.445852,246.58274322509777,1.0882469993791426,1.6754571052990146,291.4773046875,290.30237,209.40825805664065,21.842987,21.842987,0.23341231,349.71237,2.093592938663704,290.9861328125,17.875671,1.5070345,2.4832396529835856,63.30902,292.60904418945313,1.4832124,161.98079,12.203787,359.48685,10.030884094238283,102548.3175,8.405202579498287,102503.205625,101700.27734375,289.9281,3.7261934,17.875671,47.644274,101745.15625,290.8503112792969,289.79805725097657,7.3938446,1.1043058443069464,3.627385,0.67394197,3.9812658,0.9504629492759704,5
5,0.9999958,-0.21826535,-11.132673,-18.350632,-6.012707,34.65909,9.521191967951552,-0.038964447,-0.7004433,290.58502,-19.22879,13.01787,0.70437527,0.98713960647583,-2.6466413,11.48706,271.7314221040323,-10.7261915,281.2526140719838,0.999610071182251,0.73320764,53.64675,-29.63742,5.336454,62.53958,-80.66759209932758,-122.46136,3.2835863,21.62152,-9.740863,1.7314221040322764,-71.14640013137603,181.73142210403228,11.252614071983828,191.25261407198383,3.4647212,12.09055,277.53287,0.009082794,293.2597,1170.3413,1169.8994,-11.464773,-8.702551,6.769821,-0.1944654455814205,-16.029087,9.332407900672422,6.6803055,1.04558379779488,1.1831826,-70.850655,18.853599868623977,2.0153384,203.59277,102658.19,289.36295,291.1714,102588.27,-8.826744,3.8242595,-4.78075,237.85122070312505,1.0395224546291093,1.5694918581369457,290.66432373046877,291.2863,217.5858795166016,26.36583,26.36583,0.17981079,353.0394,2.0330060169060657,290.05089111328124,19.803558,1.8106682,2.263763170059026,38.6879,291.83860260009766,1.2808826,110.58501,14.307749,358.90543,12.507515916824348,102037.75375,11.191683912277222,101967.419453125,101292.683203125,289.85858,7.686948,18.554214,48.359098,101361.271875,290.67054443359376,290.0715591430664,10.272684,0.9043604081869128,8.04835,1.5171465,5.2836747,0.7350828528404236,6
6,,2.0373518,42.81796,-19.41518,1.4277426,-10.381301,5.429728159455124,,45.986073,287.70566,76.83642,-50.02722,,,8.988062,18.699728,347.9072213098951,58.137794,342.47749315043995,,,-9.5391035,7.334509,77.18706,8.619673,35.22816480854442,-147.82935,18.214815,88.852165,-188.35416,77.90722130989508,29.798436649089297,257.9072213098951,72.47749315043995,252.47749315043995,15.604543,-23.96007,,0.004072666,293.2882,1172.9807,1172.4052,33.14661,20.186216,6.359625,-0.1682019797306647,-53.931293,-54.77183519145558,33.856934,1.599716234621445,-21.295366,-68.16807,-60.2015633509107,-15.208063,,102383.25,289.0884,290.92554,102303.6,-125.59734,4.486125,-3.965679,,1.6970578456728465,2.415431000254282,290.5779296875,291.10855,,25.628525,25.628525,0.17801617,,2.8694341093669182,289.651611328125,20.24858,,3.3549530027541317,,291.660888671875,1.3519646,107.705666,,359.01233,,101932.8625,,101855.0703125,101115.53125,289.71082,8.923952,20.24858,48.718426,101194.25,290.69171142578125,290.2016662597656,,1.0502802729606642,,,5.2050595,0.7367947697639465,7
7,0.9999762,,,,,,28.321516168441832,0.017507462,,286.8001,,,0.72279394,0.982728999853134,,,193.91009250125492,,165.5885763328131,0.9992707073688508,0.87267184,,,,,31.21153353046816,,,,,283.9100925012549,2.890017362026356,103.91009250125492,255.5885763328131,75.58857633281309,,,278.03827,0.0047135353,293.70663,1151.1494,1149.693,,,5.5435753,-0.7539063559495583,,121.21153353046816,,1.941137782214886,,,92.89001736202636,,220.49303,103516.69,288.95895,289.96045,103302.52,,,-1.22064996,258.9794622802734,1.8994279104615328,2.5601249130761863,289.6310986328125,290.40686,227.995361328125,23.507553,23.507553,0.16714682,355.2127,3.404508921643117,289.262109375,18.794449,2.0279953,3.632107711039155,56.932343,291.9845300292969,1.3402249,106.80011,16.610195,358.29785,13.070929889678954,102079.67375,11.854396533966062,101870.57046875,101082.52890625,290.22116,9.620357,18.794449,46.15850067,101289.14375,290.9748077392578,289.72371765136717,11.096671,0.9576884484291076,9.661693,1.7380592,5.121382,0.7378978013992309,8
8,0.9999998,,,,,,4.32953043561713,-0.008314801,,337.40912,,,0.71434176,0.9831622838974,,,337.81207480958966,,342.1416052452068,0.9995534455776216,0.74708265,,,,,85.26751340713696,,,,,67.81207480958966,89.59704384275409,247.8120748095897,72.14160524520679,252.1416052452068,,,262.52597,0.006214142,296.2394,1204.1306,1202.9658,,,6.0500174,-0.5212948054328804,,-4.73248659286304,,1.2718571615429994,,,-0.4029561572459101,,190.58023,102873.875,290.6799,293.9204,102641.78,,,-1.061555,230.7795126342772,0.9685548956288436,1.6798318422864214,292.8607275390625,292.79346,203.7584854125976,17.975693,17.975693,0.25301605,357.72073,2.0361701075866043,291.5697021484375,16.904022,1.2434196,2.557017516776745,79.62962,294.3461633300781,1.5183618,157.40912,9.758896,358.46628,8.08948511123657,102496.665,6.932838058471678,102264.921875,101381.83125,290.7326,3.2883928,16.904022,45.56848,101610.6625,292.0932861328125,291.54876953125,6.313677,1.2856774044036852,2.414733,0.51191103,3.8231838,1.0376108527183527,9
9,0.9994832,,,,,,9.02138487319172,-0.026923055,,341.3343,,,0.6987231,0.9908595561981202,,,128.1237290590198,,137.14511393221153,0.999175751209259,0.7696333,,,,,-65.81082438143028,,,,,218.1237290590198,-56.78943950823856,38.12372905901981,227.14511393221153,47.14511393221153,,,267.02652,0.004087925,298.09302,1196.9045,1195.6288,,,5.754183,-0.2159566760383346,,-155.81082438143028,,1.1056117135465524,,,-146.78943950823856,,188.91464,103437.56,290.329,293.91064,103193.234,,,-1.793528,229.2901269531249,1.051473356330872,1.4125553749665047,293.012646484375,289.61346,211.9783752441406,17.574356,17.574356,0.27380964,358.24777,1.8246273296640347,291.5392578125,15.601959,1.4865309,1.8604471983037305,83.1913,293.7534130859375,1.5878131,161.3343,10.8062935,359.23276,9.390230484008782,102109.5475,7.80696449279785,101883.588125,101189.284375,289.47195,3.2854993,15.601959,46.497358,101415.9,290.72857666015625,289.4417822265625,6.842887,1.3539250993728635,2.414733,0.48857749,3.9593306,1.021216320991516,10
