,Unnamed: 0,station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster,DU,CODE_1_18,CODE_2_18,CODE_3_18,CODE_4_18,CODE_5_18,COMMENT_18
0,0,1,48.383,-4.495,399,0.0192406210445008,0.3966736502478821,0.1542821778416368,0.0248662335204727,0.960844211931903,0.0494782938246722,0.9988404982170832,3,4,8,84,842,8420,84200,
1,1,10,45.56848,-1.061555,237,0.0088778262935308,0.3969812706114106,0.2131120797609494,0.0395484470077406,0.837822009083803,0.0762425435945888,0.9961538872962868,3,4,8,83,832,8320,83200,
2,2,102,50.102,-5.542,377,0.0914707481944242,0.3824423705098201,0.1339606431470941,0.0286058878089926,0.9083926260236176,0.0532123116104968,0.9987358006552745,3,4,8,84,842,8420,84200,
3,3,103,50.103,-5.54275,448,0.1826767943208799,0.4166295566368921,0.3381770255129865,0.1985557023293032,5.918325561280256e-16,0.3488770993472217,0.8335754787068778,1,4,8,84,842,8420,84200,
4,4,104,50.099998,-5.53333,208,0.2072242342589771,0.3557246364509208,0.3978046997445966,0.2274050321639531,6.182796000093566e-10,0.4262160657291842,0.7796091759882743,1,4,8,84,842,8420,84200,
5,5,108,50.6085,-2.447944,205,-0.2991941008906251,0.4263918007223583,0.2361928472389137,0.1109943655347341,0.0117888780522012,0.1998258497754244,0.9714611330297108,3,4,1,11,112,1121,11210,
6,6,109,50.714333,-1.874861,171,0.2091915267383245,0.4530849036309236,0.4347385426061614,0.0615734538491051,0.5158222204965666,0.101990046524849,0.995440341384998,1,4,8,84,842,8420,84200,
7,7,11,46.497358,-1.793528,217,-0.0355843526596424,0.3691947549997586,0.1654209308584672,0.0524392524360619,0.5712227876679248,0.0922383402491842,0.9941486592970196,3,4,1,12,123,1234,12340,
8,8,111,50.7403,-1.50714,105,-0.6075712212350992,0.4428894434816706,0.222453022342408,0.0861718463436687,0.3942927312739153,0.1494880788314537,0.988252874349876,3,4,8,84,842,8420,84200,
9,9,114,50.70888,-2.76411,71,-0.0015916372656461,0.6764939362960088,0.4491753468766529,0.1296435468983287,0.1682596788706136,0.2315735981689571,0.9482298063264908,1,4,1,11,112,1121,11210,
10,10,115,50.59419,-4.83437,79,0.1666023245306987,1.1442777049313766,0.2827630824126496,0.045765113118623,0.9938907416007688,0.0843020766895498,0.996001550032402,4,4,8,84,842,8420,84200,
11,11,12,47.277217,-1.8898,213,-0.0491542570636995,0.6805387222152965,0.276738005425897,0.053283839041114,0.5625192346403777,0.1046031321094873,0.9891098785762912,1,4,8,81,811,8110,81100,
12,12,120,50.9693985,1.86772001,308,0.1421289654177601,0.7273384286287202,0.2643980262639626,0.045531297094057,0.5305847711269083,0.0856281848467286,0.9964328979336708,1,4,1,12,123,1232,12320,
