,Unnamed: 0,station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster,geometry,CVI_Category,dist_to_CVI_m,Morpho,CoastType,dist_to_morpho_m,wave_nc_mean_0p1deg,wave_atl_mean_0p1deg,current_mean_0p1deg,current_mean_1deg,dist_to_river_outlet_m,GEV_ID,HYRIV_ID,dist_to_nearest_river_m,nearest_CATCH_SKM_10km,nearest_DIS_AV_CMS_10km,river_index_10km,coastal_type
0,0,1,48.383,-4.495,399,0.0192406210445008,0.3966736502478821,0.1542821778416368,0.0248662335204727,0.960844211931903,0.0494782938246722,0.9988404982170832,3,POINT (-4.494999999999999 48.382999999999996),Intermediate,21.111073515668977,J,Harbor area,16.119376833407546,0.9354383680555556,866.5511723176747,33.83014160454348,235.51501148059415,446.2905740163656,0,20414935,225.2376341625892,1.0,1.485,0.6293843534798188,84200 Coastal waters
1,1,10,45.56848,-1.061555,237,0.0088778262935308,0.3969812706114106,0.2131120797609494,0.0395484470077406,0.837822009083803,0.0762425435945888,0.9961538872962868,3,POINT (-1.061555 45.568479999999994),No data,43.623852514712105,J,Harbor area,8.652328366898566,,,,,5552.178835262204,1,20492193,5552.178835262204,10.68,1.03,0.1080611175122276,83200 Estuaries
2,2,102,50.102,-5.542,377,0.0914707481944242,0.3824423705098201,0.1339606431470941,0.0286058878089926,0.9083926260236176,0.0532123116104968,0.9987358006552745,3,POINT (-5.541999999999999 50.102),Lower,173.43264995203862,J,Harbor area,160.6860858659023,1.2059461805555556,136.87948753389804,59.20437430531076,98.55327487301955,490.8659476401369,2,20371108,490.8659476401369,8.54,0.508,0.27553401094840113,84200 Coastal waters
3,3,103,50.103,-5.54275,448,0.1826767943208799,0.4166295566368921,0.3381770255129865,0.1985557023293032,5.918325561280256e-16,0.3488770993472217,0.8335754787068778,1,POINT (-5.54275 50.10300000000001),Lower,206.4504579754789,J,Harbor area,59.102871907950714,1.2010633680555556,137.9329596312312,59.58705428745426,98.49593312310316,369.8805283435022,3,20371108,369.8805283435022,8.54,0.508,0.29986868623967355,84200 Coastal waters
4,4,104,50.099998,-5.53333,208,0.2072242342589771,0.3557246364509208,0.3978046997445966,0.2274050321639531,6.182796000093566e-10,0.4262160657291842,0.7796091759882743,1,POINT (-5.53333 50.099998),Lower,798.8056530868658,A,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",815.2178432216778,1.2198350694444444,129.35871808674415,51.478829769464774,98.90223652113791,1021.2280254620737,4,20371108,1021.2280254620737,8.54,0.508,0.20323499831037933,84200 Coastal waters
5,5,108,50.6085,-2.447944,205,-0.2991941008906251,0.4263918007223583,0.2361928472389137,0.1109943655347341,0.0117888780522012,0.1998258497754244,0.9714611330297108,3,POINT (-2.447944 50.6085),Lower,19.617665261961523,J,Harbor area,13.010872173483044,1.4330512152777777,146.22448907619716,151.83872182918674,504.1471163669678,739.0555098474315,5,20358527,739.0555098474315,42.47,0.858,0.3562282132723829,
6,6,109,50.714333,-1.874861,171,0.2091915267383245,0.4530849036309236,0.4347385426061614,0.0615734538491051,0.5158222204965666,0.101990046524849,0.995440341384998,1,POINT (-1.874861 50.71433299999999),Lower,135.22043623054964,B,"Erodible rock and/or cliff, with rock waste and sediments (sand or pebbles) at its base",16.574059514267653,1.0798611111111112,53.03638319219233,106.81692107920883,635.4795868133893,159.16900748753812,6,20355982,159.16900748753812,12.91,0.224,0.1743699081023874,84200 Coastal waters
7,7,11,46.497358,-1.793528,217,-0.0355843526596424,0.3691947549997586,0.1654209308584672,0.0524392524360619,0.5712227876679248,0.0922383402491842,0.9941486592970196,3,POINT (-1.7935280000000002 46.49735799999999),No data,4.623655056086136,J,Harbor area,10.646938449422699,,,,,1326.3041197853383,7,20467927,1261.459053155732,8.86,0.152,0.06082590958257216,12340 Naval port
8,8,111,50.7403,-1.50714,105,-0.6075712212350992,0.4428894434816706,0.222453022342408,0.0861718463436687,0.3942927312739153,0.1494880788314537,0.988252874349876,3,POINT (-1.50714 50.7403),Lower,1939.7515937514095,G,"Muddy coastline, including tidal flat, salt marsh",2062.87838522555,1.1117621527777777,301.4166595836838,638.0639119836537,656.2149441485958,1548.288065752368,8,20355016,1548.288065752368,12.76,2.16,0.4515078483479834,84200 Coastal waters
9,9,114,50.70888,-2.76411,71,-0.0015916372656461,0.6764939362960088,0.4491753468766529,0.1296435468983287,0.1682596788706136,0.2315735981689571,0.9482298063264908,1,POINT (-2.7641099999999996 50.70888),Lower,53.84816263506451,B,"Erodible rock and/or cliff, with rock waste and sediments (sand or pebbles) at its base",78.68138315788457,1.0901692708333333,254.60558401102685,61.31159367810467,451.97906562543284,174.61247387693692,9,20356093,174.61247387693692,1.5,2.55,1.0786090351023319,
