,Unnamed: 0,wind_wave_alignment,lat,tp,lon,mwd,mwp,wind_dir,v10_abs,tau_v,msl,sp,v10,u10_abs,swh,station,extract_time,cluster
0,0,,48.383,0.0010185242,-4.495,,,161.26425,3.109146,-0.016234128,97898.44,97670.66,-3.109146,1.0545502,,1,1952-09-30 12:00:00,7
1,1,,48.383,0.00023698807,-4.495,,,60.971256,5.9365234,0.6003581,98755.31,98523.47,5.9365234,10.697113,,1,1952-11-27 17:00:00,3
2,2,,48.383,0.00031232834,-4.495,,,104.22763,2.7414093,-0.12939984,99196.75,98961.78,-2.7414093,10.812012,,1,1952-12-13 00:00:00,1
3,3,,48.383,0.0,-4.495,,,253.57056,1.5982819,-0.022049686,101696.81,101457.3,-1.5982819,5.420212,,1,1953-03-19 04:00:00,2
4,4,,48.383,0.00027036667,-4.495,,,65.63045,5.4982452,0.5843502,100337.0,100099.94,5.4982452,12.137955,,1,1953-04-05 15:00:00,1
5,5,,48.383,0.0010538101,-4.495,,,73.65505,2.3000488,0.06607236,100773.625,100540.67,2.3000488,7.8427124,,1,1953-06-21 16:00:00,1
6,6,,48.383,0.000101566315,-4.495,,,73.955505,4.532181,0.5155058,99812.375,99580.57,4.532181,15.759399,,1,1953-09-21 10:00:00,1
7,7,,48.383,0.0032753944,-4.495,,,38.25526,11.470062,1.8948306,99205.75,98975.16,11.470062,9.043976,,1,1953-10-27 01:00:00,4
8,8,,48.383,4.7683716e-07,-4.495,,,9.197374,9.980743,0.2563671,100236.875,100004.32,9.980743,1.6160583,,1,1953-12-03 10:00:00,3
9,9,,48.383,0.00015735626,-4.495,,,352.4932,8.902847,0.14807895,99648.0,99413.56,8.902847,1.1731567,,1,1954-03-22 15:00:00,7
10,10,,48.383,0.0,-4.495,,,220.18344,3.1859589,-0.04349463,101552.375,101310.766,-3.1859589,2.6907654,,1,1954-04-29 22:00:00,2
11,11,,48.383,0.00069856644,-4.495,,,359.1605,9.773987,0.02178831,99326.625,99095.2,9.773987,0.143219,,1,1954-06-09 09:00:00,7
12,12,,48.383,0.0023450851,-4.495,,,185.51886,6.93396,-0.051297467,99358.94,99127.86,-6.93396,0.66996765,,1,1954-08-09 06:00:00,7
13,13,,48.383,0.001024723,-4.495,,,22.572405,18.026627,3.8779078,97379.5,97152.62,18.026627,7.493576,,1,1954-11-29 21:00:00,4
14,14,,48.383,4.7683716e-07,-4.495,,,96.76765,1.2725525,-0.027654434,97096.44,96866.016,-1.2725525,10.723434,,1,1954-12-08 23:00:00,0
15,15,,48.383,0.00096797943,-4.495,,,139.0741,6.883377,-0.4503111,98702.19,98466.58,-6.883377,5.9680176,,1,1955-02-03 22:00:00,1
16,16,,48.383,0.0034179688,-4.495,,,336.7687,10.280746,0.7427806,99691.75,99458.17,10.280746,4.412979,,1,1955-05-16 19:00:00,7
17,17,,48.383,6.198883e-06,-4.495,,,19.50799,2.9717712,0.01480699,100068.94,99837.43,2.9717712,1.0528259,,1,1955-06-08 14:00:00,1
18,18,,48.383,4.2915344e-06,-4.495,,,24.750874,5.1235657,0.09874627,102072.375,101838.72,5.1235657,2.362091,,1,1955-08-18 13:00:00,2
19,19,,48.383,0.0,-4.495,,,267.0186,0.23277283,-0.0003856399,101203.31,100965.87,-0.23277283,4.469284,,1,1955-11-01 13:00:00,2
20,20,,48.383,0.00019645691,-4.495,,,93.3736,1.1129456,-0.03724154,97444.94,97215.766,-1.1129456,18.879929,,1,1955-12-15 09:00:00,0
21,21,,48.383,0.00042676926,-4.495,,,70.258934,4.7088623,0.46334198,99311.06,99077.07,4.7088623,13.121704,,1,1956-03-23 22:00:00,1
22,22,,48.383,0.0,-4.495,,,56.162575,2.465805,0.03561472,102053.06,101815.69,2.465805,3.6781769,,1,1956-05-23 12:00:00,2
23,23,,48.383,0.0014615059,-4.495,,,59.458023,4.6050262,0.26357245,99436.625,99206.86,4.6050262,7.8047028,,1,1956-07-29 00:00:00,1
24,24,,48.383,2.193451e-05,-4.495,,,80.136635,1.6850739,0.04382417,99794.44,99563.29,1.6850739,9.69162,,1,1956-08-25 14:00:00,1
25,25,,48.383,9.2983246e-05,-4.495,,,166.4319,10.37645,-0.4293861,101817.5,101577.734,-10.37645,2.5042114,,1,1956-10-05 07:00:00,2
26,26,,48.383,0.00023508072,-4.495,,,131.864,10.557114,-2.0909858,99193.625,98959.22,-10.557114,11.780975,,1,1956-12-30 00:00:00,6
27,27,,48.383,0.00013589859,-4.495,,,68.62638,4.737274,0.43259707,99384.19,99152.484,4.737274,12.104507,,1,1957-02-12 23:00:00,1
28,28,,48.383,3.4332275e-05,-4.495,,,60.421013,3.945755,0.17235823,100408.375,100173.91,3.945755,6.951721,,1,1957-05-11 15:00:00,1
29,29,,48.383,3.9100647e-05,-4.495,,,43.561768,3.14711,0.04720661,100550.69,100315.34,3.14711,2.9929504,,1,1957-06-09 06:00:00,1
30,30,,48.383,0.0010046959,-4.495,,,179.90512,4.3775024,-0.00022118002,99452.875,99221.95,-4.3775024,0.007247925,,1,1957-08-08 23:00:00,1
31,31,,48.383,0.0006079674,-4.495,,,99.91676,3.1099396,-0.27398098,98637.625,98406.94,-3.1099396,17.788406,,1,1957-11-03 23:00:00,0
32,32,,48.383,0.0007891655,-4.495,,,11.559222,16.256927,1.399425,97750.31,97519.78,16.256927,3.3250122,,1,1957-12-10 18:00:00,4
33,33,,48.383,0.0001707077,-4.495,,,351.22855,4.003235,0.015764235,99025.125,98792.8,4.003235,0.61769104,,1,1958-02-10 16:00:00,7
