,Unnamed: 0,station,swh,mwd,mwp,wsk,sst,number,coast_lon,coast_lat,wave_lon,wave_lat,wave_distance_deg,u10,v10,msl,tp,d2m,sp,t2m,lon,lat,wind_magnitude,wind_dir,u10_abs,v10_abs,wind_wave_diff,wind_wave_alignment,tau_u,tau_u_abs,tau_v,tau_v_abs,tau_mag,wind_to_mean_deg,coastal_bearing_deg,coastal_radius_used_deg,bay_bearing_deg,bay_radius_used_deg,coastal_vs_bay_diff_deg,coastal_normal1_deg,coastal_normal2_deg,wind_vs_coastal_normal_diff_deg,wind_more_coastalshore_deg,bay_normal1_deg,bay_normal2_deg,wind_vs_bay_normal_diff_deg,wind_more_bayshore_deg
0,0,1,0.8702043494242325,274.59288391523194,7.156466993323543,0.0192896710022499,287.22592484323604,0.0,-2.201248,47.0,-2.25,47.0,0.0487519999999999,1.2114174,-0.3897269,101687.48,0.0021176536,282.45142,101662.52,285.87292,-2.25,47.0,2.0980575,135.0471,1.7817892,1.2360547,139.54577949747704,0.0037406800936374,0.006182043,0.008857904,-7.6919016e-05,0.006119879,0.016679252,315.04712,164.5752469252692,0.1,164.57440104779062,0.3,0.0008458774785822,254.5752469252692,74.5752469252692,60.4718722153558,150.4718722153558,254.57440104779064,74.57440104779062,60.472718092834384,150.47271809283438
1,1,2,0.8702043494242325,274.59288391523194,7.156466993323543,0.0192896710022499,287.22592484323604,0.0,-2.271342,47.0,-2.25,47.0,0.0213420000000001,1.2114174,-0.3897269,101687.48,0.0021176536,282.45142,101662.52,285.87292,-2.25,47.0,2.0980575,135.0471,1.7817892,1.2360547,139.54577949747704,0.0037406800936374,0.006182043,0.008857904,-7.6919016e-05,0.006119879,0.016679252,315.04712,164.5752469252692,0.1,164.57440104779062,0.3,0.0008458774785822,254.5752469252692,74.5752469252692,60.4718722153558,150.4718722153558,254.57440104779064,74.57440104779062,60.472718092834384,150.47271809283438
2,2,3,0.8676205278750051,274.57731887959596,7.154610239622886,0.0193535839125775,287.22592484323604,0.0,-2.024196,47.0,-2.0,47.0,0.0241959999999998,0.92626595,-0.19040215,101687.79,0.0019899963,282.2485,101539.55,285.61334,-2.0,47.0,1.3206111,135.54764,1.388114,0.9726183,139.0296796785112,-0.0420619825127194,0.003139638,0.0044599087,0.00044570773,0.003131027,0.006902153,315.54764,24.37420088982691,0.1,22.81418808273611,0.3,1.5600128070908,114.37420088982692,294.3742008898269,21.173437049626216,-68.82656295037378,112.81418808273612,292.8141880827361,22.733449856717016,-67.26655014328298
3,3,4,0.8702043494242325,274.59288391523194,7.156466993323543,0.0192896710022499,287.22592484323604,0.0,-2.152178,47.122664,-2.25,47.0,0.1568935963639053,1.2114174,-0.3897269,101687.48,0.0021176536,282.45142,101662.52,285.87292,-2.25,47.0,2.0980575,135.0471,1.7817892,1.2360547,139.54577949747704,0.0037406800936374,0.006182043,0.008857904,-7.6919016e-05,0.006119879,0.016679252,315.04712,164.5752469252692,0.1,164.57440104779062,0.3,0.0008458774785822,254.5752469252692,74.5752469252692,60.4718722153558,150.4718722153558,254.57440104779064,74.57440104779062,60.472718092834384,150.47271809283438
4,4,5,0.8702043494242325,274.59288391523194,7.156466993323543,0.0192896710022499,286.8812025639049,0.0,-2.171566,47.240172,-2.25,47.25,0.0790473398666899,0.97847193,-0.15659082,101681.38,0.0020165516,282.38562,101519.586,285.5826,-2.25,47.25,1.3346902,133.78932,1.4313854,0.94395447,140.80356555602006,-0.0219604889917337,0.0034198214,0.004704338,0.00065160956,0.003128703,0.0072498186,313.7893,224.97247181694064,0.1,231.5827416908932,0.3,6.610269873952575,314.97247181694064,134.97247181694064,-1.18316517631564,88.81683482368436,321.5827416908932,141.58274169089322,-7.793435050268215,82.20656494973178
5,5,6,0.8676205278750051,274.57731887959596,7.154610239622886,0.0193535839125775,287.22592484323604,0.0,-1.954437,47.280543,-2.0,47.25,0.0548530930577309,0.81169605,-0.04591641,101681.71,0.0020189788,281.8717,101479.305,285.35675,-2.0,47.25,1.14164,132.3917,1.2478378,0.89381105,142.1856250875352,0.0308974151544526,0.0025838672,0.0036226518,0.00086963223,0.0026141894,0.0055290065,312.3917,104.80839203550543,0.1,111.44519732863596,0.3,6.6368052931305215,194.80839203550545,14.808392035505449,-62.416698920271074,-152.41669892027107,201.44519732863597,21.44519732863597,-69.0535042134016,-159.0535042134016
6,6,7,0.8676205278750051,274.57731887959596,7.154610239622886,0.0193535839125775,287.22592484323604,0.0,-1.78498,47.21319700000001,-1.75,47.25,0.0507746118547441,0.73946786,0.027460698,101682.19,0.002008481,281.68863,101411.23,285.2528,-1.75,47.25,1.1140252,132.5921,1.1928775,0.89468724,141.98521480094968,0.005919621184366,0.0024087082,0.00343194,0.0010610805,0.0025985648,0.005361703,312.5921,281.4809757370341,0.1,287.8181347755777,0.3,6.337159038543575,11.4809757370341,191.4809757370341,-58.88887368625285,31.11112631374715,17.818134775577676,197.81813477557768,-65.22603272479643,24.773967275203574
7,7,8,0.8676205278750051,274.57731887959596,7.154610239622886,0.0193535839125775,287.22592484323604,0.0,-1.897914,47.290743,-2.0,47.25,0.1099160745523597,0.81169605,-0.04591641,101681.71,0.0020189788,281.8717,101479.305,285.35675,-2.0,47.25,1.14164,132.3917,1.2478378,0.89381105,142.1856250875352,0.0308974151544526,0.0025838672,0.0036226518,0.00086963223,0.0026141894,0.0055290065,312.3917,104.80839203550543,0.1,111.44519732863596,0.3,6.6368052931305215,194.80839203550545,14.808392035505449,-62.416698920271074,-152.41669892027107,201.44519732863597,21.44519732863597,-69.0535042134016,-159.0535042134016
8,8,9,0.8702043494242325,274.59288391523194,7.156466993323543,0.0192896710022499,286.8812025639049,0.0,-2.142462,47.313485,-2.25,47.25,0.1248790081198596,0.97847193,-0.15659082,101681.38,0.0020165516,282.38562,101519.586,285.5826,-2.25,47.25,1.3346902,133.78932,1.4313854,0.94395447,140.80356555602006,-0.0219604889917337,0.0034198214,0.004704338,0.00065160956,0.003128703,0.0072498186,313.7893,224.97247181694064,0.1,231.5827416908932,0.3,6.610269873952575,314.97247181694064,134.97247181694064,-1.18316517631564,88.81683482368436,321.5827416908932,141.58274169089322,-7.793435050268215,82.20656494973178
9,9,10,0.8702043494242325,274.59288391523194,7.156466993323543,0.0192896710022499,286.8812025639049,0.0,-2.361625,47.28258,-2.25,47.25,0.1162824020434743,0.97847193,-0.15659082,101681.38,0.0020165516,282.38562,101519.586,285.5826,-2.25,47.25,1.3346902,133.78932,1.4313854,0.94395447,140.80356555602006,-0.0219604889917337,0.0034198214,0.004704338,0.00065160956,0.003128703,0.0072498186,313.7893,224.97247181694064,0.1,231.5827416908932,0.3,6.610269873952575,314.97247181694064,134.97247181694064,-1.18316517631564,88.81683482368436,321.5827416908932,141.58274169089322,-7.793435050268215,82.20656494973178
