,station,station_am_mean,station_am_std,station_am_max,swh_am_mean,swh_am_std,swh_am_max,mwp_am_mean,mwp_am_std,mwp_am_max,wsk_am_mean,wsk_am_std,wsk_am_max,sst_am_mean,sst_am_std,sst_am_max,wave_lon_am_mean,wave_lon_am_std,wave_lon_am_max,wave_lat_am_mean,wave_lat_am_std,wave_lat_am_max,wave_distance_deg_am_mean,wave_distance_deg_am_std,wave_distance_deg_am_max,u10_am_mean,u10_am_std,u10_am_max,v10_am_mean,v10_am_std,v10_am_max,msl_am_mean,msl_am_std,msl_am_max,tp_am_mean,tp_am_std,tp_am_max,d2m_am_mean,d2m_am_std,d2m_am_max,sp_am_mean,sp_am_std,sp_am_max,t2m_am_mean,t2m_am_std,t2m_am_max,longitude_am_mean,longitude_am_std,longitude_am_max,latitude_am_mean,latitude_am_std,latitude_am_max,wind_magnitude_am_mean,wind_magnitude_am_std,wind_magnitude_am_max,u10_abs_am_mean,u10_abs_am_std,u10_abs_am_max,v10_abs_am_mean,v10_abs_am_std,v10_abs_am_max,wind_wave_diff_am_mean,wind_wave_diff_am_std,wind_wave_diff_am_max,wind_wave_alignment_am_mean,wind_wave_alignment_am_std,wind_wave_alignment_am_max,tau_u_am_mean,tau_u_am_std,tau_u_am_max,tau_u_abs_am_mean,tau_u_abs_am_std,tau_u_abs_am_max,tau_v_am_mean,tau_v_am_std,tau_v_am_max,tau_v_abs_am_mean,tau_v_abs_am_std,tau_v_abs_am_max,tau_mag_am_mean,tau_mag_am_std,tau_mag_am_max,wind_dir_am_mean,wind_dir_am_std,mwd_am_mean,mwd_am_std,mwd,wind_dir,lat,lon
0,1,1.0,0.0,1,1.486680359375186,0.20440557115181557,1.9972641468048096,9.393989493207235,0.4944295672416469,10.740681648254395,0.09666917527594217,0.01943602991242654,0.14917433261871338,292.4344809927591,0.8568292968507882,294.6943359375,-2.25,0.0,-2.25,47.0,0.0,47.0,0.048751999999999907,0.0,0.048751999999999907,4.3460736,1.0185264,6.655283,2.2843874,0.85681033,4.9304743,102461.914,338.31067,103091.06,0.0047319923,0.0010193547,0.007030487,288.51013,0.91848284,290.63745,102436.43,338.11313,103065.625,292.3709,1.0410002,294.80176,-2.25,0.0,-2.25,47.0,0.0,47.0,7.3238907,4.3686004,21.125254,4.347018,1.0172675,6.655283,2.7818437,0.65050447,4.9304743,226.67683950575386,18.247615128179355,263.2300043106079,0.9363941964141473,0.11799323133153325,0.9999947996637819,0.04599119,0.044715796,0.19358656,0.048386306,0.044342678,0.19358656,0.02597744,0.027813695,0.1290008,0.029896196,0.026040636,0.1290008,0.11507175,0.1569284,0.7106951,116.41719557599323,67.25093129936407,274.70012313520357,12.568451726394786,274.70012313520357,116.41719557599323,47.0,-2.25
1,2,2.0,0.0,2,1.486680359375186,0.20440557115181557,1.9972641468048096,9.393989493207235,0.4944295672416469,10.740681648254395,0.09666917527594217,0.01943602991242654,0.14917433261871338,292.4344809927591,0.8568292968507882,294.6943359375,-2.25,0.0,-2.25,47.0,0.0,47.0,0.021342000000000194,0.0,0.021342000000000194,4.3460736,1.0185264,6.655283,2.2843874,0.85681033,4.9304743,102461.914,338.31067,103091.06,0.0047319923,0.0010193547,0.007030487,288.51013,0.91848284,290.63745,102436.43,338.11313,103065.625,292.3709,1.0410002,294.80176,-2.25,0.0,-2.25,47.0,0.0,47.0,7.3238907,4.3686004,21.125254,4.347018,1.0172675,6.655283,2.7818437,0.65050447,4.9304743,226.67683950575386,18.247615128179355,263.2300043106079,0.9363941964141473,0.11799323133153325,0.9999947996637819,0.04599119,0.044715796,0.19358656,0.048386306,0.044342678,0.19358656,0.02597744,0.027813695,0.1290008,0.029896196,0.026040636,0.1290008,0.11507175,0.1569284,0.7106951,116.41719557599323,67.25093129936407,274.70012313520357,12.568451726394786,274.70012313520357,116.41719557599323,47.0,-2.25
2,3,3.0,0.0,3,1.4603722299017556,0.19855413963242532,1.9937446117401123,9.370843771027356,0.48404352225951813,10.740681648254395,0.0970005436641414,0.019185387615134192,0.14917433261871338,292.4344809927591,0.8568292968507882,294.6943359375,-2.0,0.0,-2.0,47.0,0.0,47.0,0.024195999999999884,0.0,0.024195999999999884,3.4122162,0.76605856,5.103525,1.9494052,0.67533815,3.9031305,102464.96,338.4747,103097.31,0.0042543877,0.0009184086,0.0059871674,288.51678,0.93797916,290.81714,102313.72,337.41382,102945.625,292.9866,1.2320023,295.76367,-2.0,0.0,-2.0,47.0,0.0,47.0,4.851014,3.0540934,14.287636,3.4122162,0.76605856,5.103525,2.228132,0.56028056,3.9031305,228.59801374993674,18.059503807006735,256.87604808807373,0.9149545678393018,0.14911212185951522,0.9999817419645918,0.02511919,0.02407716,0.10624214,0.026318481,0.023618046,0.10624214,0.014695476,0.015958076,0.07384679,0.016306039,0.01531675,0.07384679,0.05196698,0.07162087,0.32508743,112.40181899652248,70.85750023762517,274.6708801322867,12.582781938709884,274.6708801322867,112.40181899652248,47.0,-2.0
3,4,4.0,0.0,4,1.486680359375186,0.20440557115181557,1.9972641468048096,9.393989493207235,0.4944295672416469,10.740681648254395,0.09666917527594217,0.01943602991242654,0.14917433261871338,292.4344809927591,0.8568292968507882,294.6943359375,-2.25,0.0,-2.25,47.0,0.0,47.0,0.15689359636390535,0.0,0.15689359636390535,4.3460736,1.0185264,6.655283,2.2843874,0.85681033,4.9304743,102461.914,338.31067,103091.06,0.0047319923,0.0010193547,0.007030487,288.51013,0.91848284,290.63745,102436.43,338.11313,103065.625,292.3709,1.0410002,294.80176,-2.25,0.0,-2.25,47.0,0.0,47.0,7.3238907,4.3686004,21.125254,4.347018,1.0172675,6.655283,2.7818437,0.65050447,4.9304743,226.67683950575386,18.247615128179355,263.2300043106079,0.9363941964141473,0.11799323133153325,0.9999947996637819,0.04599119,0.044715796,0.19358656,0.048386306,0.044342678,0.19358656,0.02597744,0.027813695,0.1290008,0.029896196,0.026040636,0.1290008,0.11507175,0.1569284,0.7106951,116.41719557599323,67.25093129936407,274.70012313520357,12.568451726394786,274.70012313520357,116.41719557599323,47.0,-2.25
4,5,5.0,0.0,5,1.486680359375186,0.20440557115181557,1.9972641468048096,9.393989493207235,0.4944295672416469,10.740681648254395,0.09666917527594217,0.01943602991242654,0.14917433261871338,291.9823742378049,0.8880305115321603,294.3427734375,-2.25,0.0,-2.25,47.25,0.0,47.25,0.07904733986668998,0.0,0.07904733986668998,3.5210347,0.80250233,5.2832127,1.9411759,0.6810705,4.039361,102458.83,340.27792,103078.69,0.004315446,0.0008678674,0.0059337616,288.65506,0.9186324,290.86987,102294.02,338.99072,102910.44,292.68765,1.1674013,295.2871,-2.25,0.0,-2.25,47.25,0.0,47.25,5.0556407,3.2689083,15.420381,3.5210636,0.802517,5.2832127,2.201622,0.5727026,4.039361,226.27277749922217,17.113391703150764,260.5299072265625,0.9568289110301952,0.05951960655387408,0.9999464057777172,0.02724138,0.026566291,0.11882596,0.02851365,0.026306415,0.11882596,0.015910191,0.017337034,0.078258745,0.01736249,0.016769307,0.078258745,0.05730553,0.08096304,0.3786776,110.49696350097656,69.2571785652516,274.70012313520357,12.568451726394786,274.70012313520357,110.49696350097656,47.25,-2.25
5,6,6.0,0.0,6,1.4603722299017556,0.19855413963242532,1.9937446117401123,9.370843771027356,0.48404352225951813,10.740681648254395,0.0970005436641414,0.019185387615134192,0.14917433261871338,292.4344809927591,0.8568292968507882,294.6943359375,-2.0,0.0,-2.0,47.25,0.0,47.25,0.05485309305773099,0.0,0.05485309305773099,3.097996,0.7199275,4.6767673,1.9357214,0.6272523,3.7498102,102460.83,340.24368,103077.75,0.004338009,0.0009200491,0.006980896,288.05258,0.94388664,290.36792,102254.37,338.66483,102868.75,292.87042,1.2369924,295.52637,-2.0,0.0,-2.0,47.25,0.0,47.25,4.563637,2.8763728,13.312919,3.09893,0.7204315,4.6767673,2.114592,0.55068547,3.7498102,230.94763935484536,16.179870612442414,264.8222804069519,0.9493163207787894,0.07135190269441719,0.9999138320379442,0.022563081,0.02050794,0.09207908,0.023453966,0.020283319,0.09207908,0.013927932,0.0148323625,0.064985685,0.015005526,0.014430586,0.064985685,0.04602088,0.060939174,0.28224486,106.50583034608422,73.92187250365966,274.6708801322867,12.582781938709884,274.6708801322867,106.50583034608422,47.25,-2.0
6,7,7.0,0.0,7,1.4603722299017556,0.19855413963242532,1.9937446117401123,9.370843771027356,0.48404352225951813,10.740681648254395,0.0970005436641414,0.019185387615134192,0.14917433261871338,292.4344809927591,0.8568292968507882,294.6943359375,-1.75,0.0,-1.75,47.25,0.0,47.25,0.05077461185474419,0.0,0.05077461185474419,2.9562895,0.693566,4.4863377,2.0091898,0.61923,3.7317438,102462.24,339.93637,103084.875,0.0042859055,0.0009227045,0.006626129,287.87518,0.9621595,290.2605,102185.61,337.80127,102804.75,292.94864,1.2762353,295.71973,-1.75,0.0,-1.75,47.25,0.0,47.25,4.5701118,2.7904882,12.841617,2.9621391,0.6961077,4.4863377,2.1442342,0.55597657,3.7317438,233.2212585065423,14.926573315645232,258.525839805603,0.9579315573614523,0.06264887200823388,0.9999941308468863,0.021845363,0.018973779,0.08502483,0.022639737,0.01877883,0.08502483,0.014260596,0.014657725,0.06355709,0.015173191,0.014273967,0.06355709,0.045358893,0.057007782,0.26261458,102.11523102550971,77.94277066672834,274.6708801322867,12.582781938709884,274.6708801322867,102.11523102550971,47.25,-1.75
7,8,8.0,0.0,8,1.4603722299017556,0.19855413963242532,1.9937446117401123,9.370843771027356,0.48404352225951813,10.740681648254395,0.0970005436641414,0.019185387615134192,0.14917433261871338,292.4344809927591,0.8568292968507882,294.6943359375,-2.0,0.0,-2.0,47.25,0.0,47.25,0.10991607455235973,0.0,0.10991607455235973,3.097996,0.7199275,4.6767673,1.9357214,0.6272523,3.7498102,102460.83,340.24368,103077.75,0.004338009,0.0009200491,0.006980896,288.05258,0.94388664,290.36792,102254.37,338.66483,102868.75,292.87042,1.2369924,295.52637,-2.0,0.0,-2.0,47.25,0.0,47.25,4.563637,2.8763728,13.312919,3.09893,0.7204315,4.6767673,2.114592,0.55068547,3.7498102,230.94763935484536,16.179870612442414,264.8222804069519,0.9493163207787894,0.07135190269441719,0.9999138320379442,0.022563081,0.02050794,0.09207908,0.023453966,0.020283319,0.09207908,0.013927932,0.0148323625,0.064985685,0.015005526,0.014430586,0.064985685,0.04602088,0.060939174,0.28224486,106.50583034608422,73.92187250365966,274.6708801322867,12.582781938709884,274.6708801322867,106.50583034608422,47.25,-2.0
8,9,9.0,0.0,9,1.486680359375186,0.20440557115181557,1.9972641468048096,9.393989493207235,0.4944295672416469,10.740681648254395,0.09666917527594217,0.01943602991242654,0.14917433261871338,291.9823742378049,0.8880305115321603,294.3427734375,-2.25,0.0,-2.25,47.25,0.0,47.25,0.12487900811985969,0.0,0.12487900811985969,3.5210347,0.80250233,5.2832127,1.9411759,0.6810705,4.039361,102458.83,340.27792,103078.69,0.004315446,0.0008678674,0.0059337616,288.65506,0.9186324,290.86987,102294.02,338.99072,102910.44,292.68765,1.1674013,295.2871,-2.25,0.0,-2.25,47.25,0.0,47.25,5.0556407,3.2689083,15.420381,3.5210636,0.802517,5.2832127,2.201622,0.5727026,4.039361,226.27277749922217,17.113391703150764,260.5299072265625,0.9568289110301952,0.05951960655387408,0.9999464057777172,0.02724138,0.026566291,0.11882596,0.02851365,0.026306415,0.11882596,0.015910191,0.017337034,0.078258745,0.01736249,0.016769307,0.078258745,0.05730553,0.08096304,0.3786776,110.49696350097656,69.2571785652516,274.70012313520357,12.568451726394786,274.70012313520357,110.49696350097656,47.25,-2.25
9,10,10.0,0.0,10,1.486680359375186,0.20440557115181557,1.9972641468048096,9.393989493207235,0.4944295672416469,10.740681648254395,0.09666917527594217,0.01943602991242654,0.14917433261871338,291.9823742378049,0.8880305115321603,294.3427734375,-2.25,0.0,-2.25,47.25,0.0,47.25,0.11628240204347434,0.0,0.11628240204347436,3.5210347,0.80250233,5.2832127,1.9411759,0.6810705,4.039361,102458.83,340.27792,103078.69,0.004315446,0.0008678674,0.0059337616,288.65506,0.9186324,290.86987,102294.02,338.99072,102910.44,292.68765,1.1674013,295.2871,-2.25,0.0,-2.25,47.25,0.0,47.25,5.0556407,3.2689083,15.420381,3.5210636,0.802517,5.2832127,2.201622,0.5727026,4.039361,226.27277749922217,17.113391703150764,260.5299072265625,0.9568289110301952,0.05951960655387408,0.9999464057777172,0.02724138,0.026566291,0.11882596,0.02851365,0.026306415,0.11882596,0.015910191,0.017337034,0.078258745,0.01736249,0.016769307,0.078258745,0.05730553,0.08096304,0.3786776,110.49696350097656,69.2571785652516,274.70012313520357,12.568451726394786,274.70012313520357,110.49696350097656,47.25,-2.25
