,station,station_am_mean,station_am_std,station_am_max,swh_am_mean,swh_am_std,swh_am_max,mwp_am_mean,mwp_am_std,mwp_am_max,wsk_am_mean,wsk_am_std,wsk_am_max,sst_am_mean,sst_am_std,sst_am_max,wave_lon_am_mean,wave_lon_am_std,wave_lon_am_max,wave_lat_am_mean,wave_lat_am_std,wave_lat_am_max,wave_distance_deg_am_mean,wave_distance_deg_am_std,wave_distance_deg_am_max,u10_am_mean,u10_am_std,u10_am_max,v10_am_mean,v10_am_std,v10_am_max,msl_am_mean,msl_am_std,msl_am_max,tp_am_mean,tp_am_std,tp_am_max,d2m_am_mean,d2m_am_std,d2m_am_max,sp_am_mean,sp_am_std,sp_am_max,t2m_am_mean,t2m_am_std,t2m_am_max,longitude_am_mean,longitude_am_std,longitude_am_max,latitude_am_mean,latitude_am_std,latitude_am_max,wind_magnitude_am_mean,wind_magnitude_am_std,wind_magnitude_am_max,u10_abs_am_mean,u10_abs_am_std,u10_abs_am_max,v10_abs_am_mean,v10_abs_am_std,v10_abs_am_max,wind_wave_diff_am_mean,wind_wave_diff_am_std,wind_wave_diff_am_max,wind_wave_alignment_am_mean,wind_wave_alignment_am_std,wind_wave_alignment_am_max,tau_u_am_mean,tau_u_am_std,tau_u_am_max,tau_u_abs_am_mean,tau_u_abs_am_std,tau_u_abs_am_max,tau_v_am_mean,tau_v_am_std,tau_v_am_max,tau_v_abs_am_mean,tau_v_abs_am_std,tau_v_abs_am_max,tau_mag_am_mean,tau_mag_am_std,tau_mag_am_max,wind_dir_am_mean,wind_dir_am_std,mwd_am_mean,mwd_am_std,mwd,wind_dir,coast_lat,coast_lon,lat,lon
0,1,1.0,0.0,1,2.588044192732834,0.36839779632781666,3.5968940258026123,9.738738850849431,0.4508305218768745,10.864705085754395,0.006292888304082359,0.0018263908893394714,0.009783565998077393,288.8763814786585,0.4475396981883797,290.025390625,-4.5,0.0,-4.5,48.5,0.0,48.5,0.11710678887237654,0.0,0.11710678887237654,4.441412,1.1446059,7.016123,2.9812117,0.96662766,6.5667048,102430.16,326.45203,103146.31,0.0053984015,0.0010494884,0.007619858,287.18234,0.66192776,288.96558,101820.9,322.81213,102526.44,290.1335,0.83793336,292.0918,-4.5,0.0,-4.5,48.5,0.0,48.5,9.844677,6.1418395,27.602364,4.459436,1.1571418,7.016123,3.1843045,0.83806825,6.5667048,235.0309801552354,16.216895080717592,276.47586101293564,0.933397947771234,0.1117148035407589,0.9999981945370408,0.06664973,0.062273014,0.27277324,0.066972665,0.062196713,0.27277324,0.050066575,0.051821336,0.25686866,0.050679173,0.051467147,0.25686866,0.21294877,0.2783161,1.2133106,90.03387348826338,69.90540753540051,275.4714084964932,13.770218985568006,275.4714084964932,90.03387348826338,48.383,-4.495,48.5,-4.5
1,2,2.0,0.0,2,2.588044192732834,0.36839779632781666,3.5968940258026123,9.738738850849431,0.4508305218768745,10.864705085754395,0.006292888304082359,0.0018263908893394714,0.009783565998077393,288.8763814786585,0.4475396981883797,290.025390625,-4.5,0.0,-4.5,48.5,0.0,48.5,0.11699999999999733,0.0,0.11699999999999733,4.441412,1.1446059,7.016123,2.9812117,0.96662766,6.5667048,102430.16,326.45203,103146.31,0.0053984015,0.0010494884,0.007619858,287.18234,0.66192776,288.96558,101820.9,322.81213,102526.44,290.1335,0.83793336,292.0918,-4.5,0.0,-4.5,48.5,0.0,48.5,9.844677,6.1418395,27.602364,4.459436,1.1571418,7.016123,3.1843045,0.83806825,6.5667048,235.0309801552354,16.216895080717592,276.47586101293564,0.933397947771234,0.1117148035407589,0.9999981945370408,0.06664973,0.062273014,0.27277324,0.066972665,0.062196713,0.27277324,0.050066575,0.051821336,0.25686866,0.050679173,0.051467147,0.25686866,0.21294877,0.2783161,1.2133106,90.03387348826338,69.90540753540051,275.4714084964932,13.770218985568006,275.4714084964932,90.03387348826338,48.383,-4.5,48.5,-4.5
2,3,3.0,0.0,3,2.588044192732834,0.36839779632781666,3.5968940258026123,9.738738850849431,0.4508305218768745,10.864705085754395,0.006292888304082359,0.0018263908893394714,0.009783565998077393,288.8763814786585,0.4475396981883797,290.025390625,-4.5,0.0,-4.5,48.5,0.0,48.5,0.1172047609411055,0.0,0.11720476094110552,4.441412,1.1446059,7.016123,2.9812117,0.96662766,6.5667048,102430.16,326.45203,103146.31,0.0053984015,0.0010494884,0.007619858,287.18234,0.66192776,288.96558,101820.9,322.81213,102526.44,290.1335,0.83793336,292.0918,-4.5,0.0,-4.5,48.5,0.0,48.5,9.844677,6.1418395,27.602364,4.459436,1.1571418,7.016123,3.1843045,0.83806825,6.5667048,235.0309801552354,16.216895080717592,276.47586101293564,0.933397947771234,0.1117148035407589,0.9999981945370408,0.06664973,0.062273014,0.27277324,0.066972665,0.062196713,0.27277324,0.050066575,0.051821336,0.25686866,0.050679173,0.051467147,0.25686866,0.21294877,0.2783161,1.2133106,90.03387348826338,69.90540753540051,275.4714084964932,13.770218985568006,275.4714084964932,90.03387348826338,48.38290024,-4.49503994,48.5,-4.5
3,4,4.0,0.0,4,1.486680359375186,0.20440557115181557,1.9972641468048096,9.393989493207235,0.4944295672416469,10.740681648254395,0.09666917527594217,0.01943602991242654,0.14917433261871338,291.9823742378049,0.8880305115321603,294.3427734375,-2.25,0.0,-2.25,47.25,0.0,47.25,0.05130038541765644,0.0,0.05130038541765645,3.5210347,0.80250233,5.2832127,1.9411759,0.6810705,4.039361,102458.83,340.27792,103078.69,0.004315446,0.0008678674,0.0059337616,288.65506,0.9186324,290.86987,102294.02,338.99072,102910.44,292.68765,1.1674013,295.2871,-2.25,0.0,-2.25,47.25,0.0,47.25,5.0556407,3.2689083,15.420381,3.5210636,0.802517,5.2832127,2.201622,0.5727026,4.039361,226.27277749922217,17.113391703150764,260.5299072265625,0.9568289110301952,0.05951960655387408,0.9999464057777172,0.02724138,0.026566291,0.11882596,0.02851365,0.026306415,0.11882596,0.015910191,0.017337034,0.078258745,0.01736249,0.016769307,0.078258745,0.05730553,0.08096304,0.3786776,110.49696350097656,69.2571785652516,274.70012313520357,12.568451726394786,274.70012313520357,110.49696350097656,47.266862,-2.20155,47.25,-2.25
4,5,5.0,0.0,5,1.486680359375186,0.20440557115181557,1.9972641468048096,9.393989493207235,0.4944295672416469,10.740681648254395,0.09666917527594217,0.01943602991242654,0.14917433261871338,291.9823742378049,0.8880305115321603,294.3427734375,-2.25,0.0,-2.25,47.25,0.0,47.25,0.10967775156794571,0.0,0.10967775156794571,3.5210347,0.80250233,5.2832127,1.9411759,0.6810705,4.039361,102458.83,340.27792,103078.69,0.004315446,0.0008678674,0.0059337616,288.65506,0.9186324,290.86987,102294.02,338.99072,102910.44,292.68765,1.1674013,295.2871,-2.25,0.0,-2.25,47.25,0.0,47.25,5.0556407,3.2689083,15.420381,3.5210636,0.802517,5.2832127,2.201622,0.5727026,4.039361,226.27277749922217,17.113391703150764,260.5299072265625,0.9568289110301952,0.05951960655387408,0.9999464057777172,0.02724138,0.026566291,0.11882596,0.02851365,0.026306415,0.11882596,0.015910191,0.017337034,0.078258745,0.01736249,0.016769307,0.078258745,0.05730553,0.08096304,0.3786776,110.49696350097656,69.2571785652516,274.70012313520357,12.568451726394786,274.70012313520357,110.49696350097656,47.140383,-2.24635,47.25,-2.25
5,6,6.0,0.0,6,2.9135104505027214,0.4047461464728059,4.046357154846191,9.83770696128287,0.45363464196578845,11.174519538879395,0.011306669653915778,0.0023622008482983865,0.01731199026107788,291.3742437595274,0.8157349921649831,293.23681640625,-3.5,0.0,-3.5,47.75,0.0,47.75,0.11878549145413086,0.0,0.11878549145413086,4.6043167,1.1558564,7.164072,2.3910882,0.8682285,5.4553766,102445.56,335.9696,103116.56,0.0052656545,0.0010605131,0.00756073,287.54205,0.79601115,289.4558,101955.52,332.57153,102617.44,291.26544,1.0129236,293.45605,-3.5,0.0,-3.5,47.75,0.0,47.75,8.297096,5.440401,24.64236,4.6212807,1.1703919,7.164072,2.7117054,0.7040444,5.4553766,225.5169167344163,20.836164397707726,275.72978687286377,0.9516752962966231,0.07186894164805091,0.9999537750980368,0.056091744,0.05752701,0.24612774,0.05879054,0.057792448,0.24612774,0.03423497,0.03775818,0.15418611,0.03608333,0.03684121,0.15418611,0.1556157,0.21675709,0.9670391,106.11322263392006,66.2464501328356,274.28007823286896,13.766694446727916,274.28007823286896,106.11322263392006,47.644274,-3.445852,47.75,-3.5
6,7,7.0,0.0,7,3.492620119234411,0.4932394224301486,4.783295631408691,10.06320202059862,0.4866469629949738,11.252888679504395,0.009624503007749231,0.0016380365512510678,0.013801634311676025,289.5238721894055,0.5787421142136594,290.6796875,-4.75,0.0,-4.75,48.25,0.0,48.25,0.11334873666698132,0.0,0.11334873666698132,5.8915243,1.5952934,9.308115,3.4919367,1.2345695,7.9827204,102432.734,328.71625,103147.94,0.0060306643,0.0012066709,0.008731842,287.53397,0.6900867,289.2019,102352.05,328.17767,103065.44,289.89545,0.64472395,291.12012,-4.75,0.0,-4.75,48.25,0.0,48.25,14.8836,9.314485,41.285694,5.912799,1.6123075,9.308115,3.946723,1.0106925,7.9827204,239.4830697425982,20.974618530720722,293.6174716949463,0.9655646999820823,0.0653232050710718,0.9999756902010478,0.13220935,0.12294264,0.52308536,0.13246123,0.122817606,0.52308536,0.08783159,0.09511132,0.49455082,0.09077969,0.09332116,0.49455082,0.4875679,0.6448636,2.7144299,100.28010540473753,66.99218198834576,284.7601005984171,15.056300184549606,284.7601005984171,100.28010540473753,48.359098,-4.78075,48.25,-4.75
7,8,8.0,0.0,8,3.1343425076182294,0.44597033300271277,4.250743389129639,9.961320853814847,0.5648027535180812,11.407673835754395,0.011096442618021151,0.002404400088826502,0.01656240224838257,289.1807057450457,0.38473812296385806,290.0556640625,-4.0,0.0,-4.0,48.75,0.0,48.75,0.04663527116893319,0.0,0.04663527116893319,5.7308135,1.4543201,9.035654,3.5448697,1.1825141,7.633111,102417.02,322.14957,103131.06,0.006086163,0.0012377723,0.009176254,287.32904,0.6712927,288.96753,102206.98,321.04095,102917.44,289.53876,0.4788115,290.44873,-4.0,0.0,-4.0,48.75,0.0,48.75,15.200828,9.165185,39.9498,5.784208,1.5115788,9.035654,3.7772787,1.0032481,7.633111,247.86850992572016,21.197730515321187,288.54826498031616,0.9522196947964263,0.06885424287917698,0.9999998470319063,0.12951487,0.11638048,0.48323414,0.13167676,0.11572552,0.48323414,0.09257028,0.091131076,0.42757994,0.093959846,0.09008862,0.42757994,0.49847952,0.6103348,2.5416083,93.86074475544255,73.94150162051413,288.668531962748,15.978770453783815,288.668531962748,93.86074475544255,48.718426,-3.965679,48.75,-4.0
8,9,9.0,0.0,9,2.4878783167862313,0.33959609207678026,3.3731391429901123,9.861980531273819,0.4967971813721361,11.280232429504395,0.007527912535318514,0.0018525556215754852,0.011801660060882568,292.8839736566311,0.8845103601390342,295.375,-1.25,0.0,-1.25,46.25,0.0,46.25,0.09609137442273417,0.0,0.09609137442273417,3.2925613,0.6916147,4.943369,1.8059804,0.66076046,3.3111286,102484.02,329.2952,103189.31,0.004911097,0.0011176746,0.007390976,288.85156,0.94525635,291.33667,102440.18,328.96283,103145.625,293.5903,1.1546233,296.48535,-1.25,0.0,-1.25,46.25,0.0,46.25,4.459473,2.3478253,12.772172,3.295076,0.68714684,4.943369,2.2820408,0.47520268,3.6044092,234.99935166137973,25.59715107811026,278.06013584136963,0.9559262220963421,0.08163485487926023,0.9999023657111544,0.02093583,0.017430354,0.08045817,0.02181292,0.01688066,0.08045817,0.011077368,0.012269742,0.06567242,0.014283861,0.011113813,0.06567242,0.040234096,0.0479678,0.25978193,124.79793139201838,71.68944801367674,285.79533695470667,11.30063455116323,285.79533695470667,124.79793139201838,46.15850067,-1.22064996,46.25,-1.25
9,10,10.0,0.0,10,2.691374976460527,0.35505699586218237,3.6026313304901123,9.875518612745331,0.48191695756448527,11.139851570129395,0.008756736429726205,0.0018298403442014073,0.014899194240570068,293.8029308784299,0.957039183322202,296.6142578125,-1.0,0.0,-1.0,45.5,0.0,45.5,0.0920789249774352,0.0,0.0920789249774352,2.4095478,0.5222709,3.7500095,1.501382,0.5357711,2.8789997,102498.914,325.07132,103257.69,0.004480362,0.0009809069,0.0074157715,287.92737,1.0024874,290.70972,102359.125,323.84,103116.625,295.03595,1.2429734,298.42676,-1.0,0.0,-1.0,45.5,0.0,45.5,2.7586012,1.3628027,7.733714,2.416325,0.511096,3.7500095,1.8904516,0.3881967,2.8789997,241.49148460859206,26.965082971411388,295.1740369796753,0.9282459787779723,0.09957996015386494,0.9999992167459445,0.009550662,0.007217293,0.0356448,0.009865644,0.00701537,0.0356448,0.005682544,0.0061721597,0.03290994,0.0075045903,0.0056786444,0.03290994,0.015004239,0.017125856,0.095247954,128.9793585800543,76.56539104994205,291.1244321877569,10.55872148276521,291.1244321877569,128.9793585800543,45.56848,-1.061555,45.5,-1.0
