,latitude,longitude,tile_0.1,extent_0.1,tile_0.25,extent_0.25,tile_1,extent_1,slope_deg_0.1,roughness_std_0.1,relief_p2p_0.1,mean_bathy_0.1,slope_deg_0.25,roughness_std_0.25,relief_p2p_0.25,mean_bathy_0.25,slope_deg_1,roughness_std_1,relief_p2p_1,mean_bathy_1,bath_cluster
0,48.383,-4.495,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 ...
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[-4.543749809265137, -4.447916507720947, 48.33541488647461, 48.431251525878906]","[[-9.98609918 -7.19959456 -4.41377628 ...         nan         nan
          nan]
 [        nan         nan         nan ...         nan         nan
          nan]
 [        nan         nan         nan ...         nan         nan
          nan]
 ...
 [        nan         nan         nan ...         nan         nan
          nan]
 [        nan         nan         nan ...         nan         nan
          nan]
 [        nan         nan         nan ...         nan         nan
          nan]]","[-4.618750095367432, -4.3729166984558105, 48.26041793823242, 48.506248474121094]","[[ -65.99823757  -61.23654593  -65.05319994 ...           nan
            nan           nan]
 [ -62.64519673  -61.01410597  -59.31958768 ...           nan
            nan           nan]
 [ -61.4719642   -59.70788574  -59.87528133 ...           nan
            nan           nan]
 ...
 [-101.76416908  -96.99374838  -99.7083851  ...  -82.12443325
   -80.29829478  -80.00000583]
 [-102.76361035  -99.13212549 -100.1182251  ...  -81.58334467
   -81.77771362  -80.99999327]
 [-100.99997712 -100.23594666 -100.00036621 ...  -81.76382706
   -81.00032295  -81.        ]]","[-4.993750095367432, -3.9979166984558105, 47.88541793823242, 48.881248474121094]",0.3146524584770752,0.6185339997369507,2.797581156720701,-1.3540110578192035,0.5910170938065556,2.6027950521151944,7.9363305903933625,-4.291048125617936,0.4546069956431309,6.393899869831074,21.99232347311292,-11.864945594016774,2
1,45.56848,-1.061555,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 ...
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[0.0, 0.0, 0.0, 0.0]","[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 ...
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[0.0, 0.0, 0.0, 0.0]","[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 ...
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[0.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,2
2,50.102,-5.542,"[[         nan          nan          nan ... -45.00080498 -45.00086027
  -45.00091552]
 [         nan          nan          nan ... -44.52264448 -44.4898601
  -44.45709643]
 [         nan          nan          nan ... -44.04448398 -43.97885993
  -43.91327733]
 ...
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]]","[-5.589583396911621, -5.493750095367432, 50.05208206176758, 50.14791488647461]","[[-65.         -65.         -65.         ... -53.99996971 -53.99977125
  -53.99957273]
 [-65.         -65.         -65.         ... -53.9670599  -53.7512461
  -53.53537912]
 [-65.         -65.         -65.         ... -53.9341501  -53.50272095
  -53.07118551]
 ...
 [-40.92947603 -40.49770666 -40.06583091 ... -14.07549374 -14.10824006
  -14.14099444]
 [-40.46440233 -40.24867358 -40.03289168 ... -14.57355635 -14.82234328
  -15.07119151]
 [-40.00024413 -40.00013073 -40.00001729 ... -15.07063851 -15.53504079
  -15.99955748]]","[-5.664583206176758, -5.418749809265137, 49.97708511352539, 50.22291564941406]","[[-99.00045775 -99.99962321 -99.76343711 ... -88.76347524 -88.99957275
  -88.99957275]
 [-99.11816406 -99.01395553 -99.         ... -88.         -88.
  -88.        ]
 [-99.         -99.         -99.         ... -87.         -87.
  -87.        ]
 ...
 [-85.         -85.67374905 -85.         ... -38.36056492 -37.326115
  -34.47196515]
 [-85.         -85.         -85.         ... -43.88214874 -41.77812517
  -39.47339951]
 [-85.         -85.         -85.         ... -47.76306915 -46.99896579
  -46.99902346]]","[-6.039583206176758, -5.043749809265137, 49.60208511352539, 50.59791564941406]",0.46976171195096106,0.8927004569384511,4.550619757755479,-4.932379669049165,0.46457526949223193,2.025658510869187,7.41149577638873,-4.726846319528467,0.5752663483450753,7.8395471457024675,24.934078535088542,-10.68993011883249,4
3,50.103,-5.54275,"[[         nan          nan          nan ... -42.36149597 -42.180336
  -41.99929047]
 [         nan          nan          nan ... -42.0007782  -41.81961823
  -41.63857269]
 [         nan          nan          nan ... -41.63822937 -41.4570694
  -41.27602386]
 ...
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]]","[-5.589583396911621, -5.493750095367432, 50.056251525878906, 50.15208435058594]","[[-65.         -65.         -65.         ... -53.92892991 -53.46449928
  -52.99995423]
 [-65.         -65.         -65.         ... -53.49766735 -53.24885207
  -52.99997548]
 [-65.         -65.         -65.         ... -53.06555418 -53.03277951
  -52.99999677]
 ...
 [-40.         -40.         -40.         ... -15.21323395 -15.67774963
  -16.14237976]
 [-40.         -40.         -40.         ... -16.14157867 -16.60609436
  -17.07072449]
 [-40.         -40.         -40.         ... -17.07175446 -17.53627014
  -18.00090027]]","[-5.664583206176758, -5.418749809265137, 49.98125076293945, 50.22708511352539]","[[-99.99981689 -99.1180814  -99.         ... -88.         -88.
  -88.        ]
 [-99.         -99.         -99.         ... -87.1184082  -87.1184082
  -87.1184082 ]
 [-99.         -99.         -98.23608398 ... -87.         -86.23608398
  -86.23608398]
 ...
 [-85.         -85.         -85.         ... -42.41586703 -39.44336947
  -36.70730144]
 [-85.         -85.         -85.         ... -45.11811066 -43.26416999
  -43.47249285]
 [-85.00003053 -85.11815349 -85.         ... -49.00052816 -49.00085449
  -49.00085449]]","[-6.039583206176758, -5.043749809265137, 49.60625076293945, 50.60208511352539]",0.7164218608103218,1.212879888733437,5.287394215315557,-4.070334019017104,0.46522646411394747,2.143751096214181,7.852673296357851,-4.454969668536416,0.6424857521334612,7.343697252539207,26.90781483986726,-12.604919180452166,4
4,50.099998,-5.53333,"[[         nan          nan          nan ... -41.72562797 -41.36336331
  -41.0013275 ]
 [         nan          nan          nan ... -41.06619859 -40.67109426
  -40.27623952]
 [         nan          nan          nan ... -40.4067692  -39.97882521
  -39.55115155]
 ...
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]]","[-5.581250190734863, -5.485416889190674, 50.05208206176758, 50.14791488647461]","[[-65.         -65.         -65.         ... -52.85829139 -51.92945848
  -51.00039674]
 [-65.         -65.         -65.         ... -52.89118703 -52.17796946
  -51.46457618]
 [-65.         -65.         -65.         ... -52.92408266 -52.42648044
  -51.92875563]
 ...
 [-40.         -39.53548431 -39.07085419 ... -12.99925232 -12.07022095
  -11.14096069]
 [-40.         -39.53548431 -39.07085419 ... -13.9294281  -13.00039673
  -12.07113647]
 [-40.         -39.53548431 -39.07085419 ... -14.85777283 -13.92874146
  -12.9994812 ]]","[-5.65625, -5.410416603088379, 49.97708511352539, 50.22291564941406]","[[-99.99957275 -99.88148968 -99.         ... -88.99957275 -88.99957275
  -87.99998475]
 [-99.         -99.         -99.         ... -88.         -88.
  -88.        ]
 [-99.         -99.         -99.         ... -87.         -87.
  -87.        ]
 ...
 [-85.76397705 -85.         -84.23626709 ... -37.18013694 -34.41627424
  -32.99998474]
 [-85.         -85.         -84.97203846 ... -41.43779325 -39.26505622
  -32.82835569]
 [-85.         -85.         -84.99994232 ... -46.99890812 -46.88090348
  -45.998291  ]]","[-6.03125, -5.035416603088379, 49.60208511352539, 50.59791564941406]",0.47140890302924543,0.9754797521512919,4.209302910610796,-8.839198500333401,0.5120215161890621,2.5522702930848125,10.62325741631402,-9.518069816295458,0.5089010484991117,10.45716340608494,33.44389204726934,-16.981245713277517,4
5,50.6085,-2.447944,"[[-30.99988556 -30.81878281 -30.63768005 ... -22.63770138 -22.81878203
  -22.99986267]
 [-30.81861115 -30.63750839 -30.45640564 ... -22.52208832 -22.67033967
  -22.81859102]
 [-30.63825226 -30.45714951 -30.27604675 ... -22.40705917 -22.52264703
  -22.63823489]
 ...
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]]","[-2.4979166984558105, -2.402083396911621, 50.56041717529297, 50.65625]","[[-43.00006104 -43.00006104 -43.00006104 ... -40.07098109 -40.53561071
  -41.00024033]
 [-42.53588867 -42.53588867 -42.53588867 ... -39.0768628  -39.1102086
  -39.14355441]
 [-42.07080078 -42.07080078 -42.07080078 ... -38.08078371 -37.68199506
  -37.2832064 ]
 ...
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]]","[-2.5729167461395264, -2.3270833492279053, 50.485416412353516, 50.73125076293945]","[[-62.         -62.         -62.         ... -58.23631012 -58.88201374
  -58.        ]
 [-62.         -62.         -62.         ... -57.67384204 -57.
  -57.11773637]
 [-60.99999549 -61.23632812 -61.23632812 ... -58.76367188 -58.97208938
  -57.23633395]
 ...
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]]","[-2.9479167461395264, -1.9520833492279053, 50.110416412353516, 51.10625076293945]",0.4571555569012939,0.7270581174502757,2.01983202803753,-1.833889721887515,0.32465951411000876,1.2868044026383703,5.020161674361277,-2.830911362934802,0.318022536677806,4.188832236524553,14.79105383528223,-7.964406267416249,3
6,50.714333,-1.874861,"[[ -4.99828721  -4.81764871  -4.63701021 ... -16.         -16.
  -16.        ]
 [ -4.27685579  -4.29219824  -4.30754068 ... -16.         -16.
  -16.        ]
 [ -3.55176228  -3.7640805   -3.97639872 ... -16.         -16.
  -16.        ]
 ...
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]]","[-1.9229166507720947, -1.8270833492279053, 50.66458511352539, 50.76041793823242]","[[ -7.97974398  -7.5136966   -7.04764922 ... -27.99975586 -27.99975586
  -27.99975586]
 [         nan          nan          nan ... -27.5355835  -27.5355835
  -27.5355835 ]
 [         nan          nan          nan ... -27.07049561 -27.07049561
  -27.07049561]
 ...
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]]","[-1.9979166984558105, -1.7520833015441895, 50.58958435058594, 50.83541488647461]","[[-58.         -58.         -58.         ... -54.2363463  -55.00005767
  -55.00048828]
 [-58.         -58.         -58.         ... -54.0903915  -53.36878519
  -54.3550415 ]
 [-56.9999982  -57.23602295 -57.23602295 ... -56.4723959  -54.9723249
  -56.76397885]
 ...
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]]","[-2.3729166984558105, -1.3770833015441895, 50.21458435058594, 51.21041488647461]",,,,,0.5612383963034842,2.961142183347391,8.886218757806551,-6.7644653692246575,0.12478863125927697,2.0920060197433803,8.256689078975795,-10.915865797166576,3
7,46.497358,-1.793528,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 ...
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[0.0, 0.0, 0.0, 0.0]","[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 ...
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[0.0, 0.0, 0.0, 0.0]","[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 ...
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[0.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,2
8,50.7403,-1.50714,"[[-37.0028209  -33.55961365 -30.11640641 ...          nan          nan
           nan]
 [-35.55266085 -33.22564965 -30.89863845 ...          nan          nan
           nan]
 [-34.10250081 -32.89168565 -31.68087049 ...          nan          nan
           nan]
 ...
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]]","[-1.556249976158142, -1.4604166746139526, 50.693748474121094, 50.78958511352539]","[[-26.         -26.         -26.         ...  -7.78596994  -6.39242135
   -4.99887276]
 [-26.         -26.         -26.         ...  -5.96217347  -4.78426678
   -3.6063601 ]
 [-26.         -26.         -26.         ...  -4.13837699  -3.17611221
   -2.21384743]
 ...
 [         nan          nan          nan ...  -1.00499126  -1.03771325
   -1.07043524]
 [         nan          nan          nan ...  -1.03794912  -1.28673834
   -1.53552757]
 [         nan          nan          nan ...  -1.0708421   -1.53527323
   -1.99970436]]","[-1.631250023841858, -1.3854166269302368, 50.618751525878906, 50.86458206176758]","[[-53.00002288 -53.1180674  -53.00036621 ... -69.2361329  -69.88197204
  -70.00037574]
 [-53.         -53.         -53.1182251  ... -66.77125998 -69.23633957
  -71.00000841]
 [-53.         -53.         -53.         ... -64.23590088 -65.06171799
  -67.2359132 ]
 ...
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]]","[-2.0062499046325684, -1.0104166269302368, 50.243751525878906, 51.23958206176758]",0.22248177413508274,0.44489089699280027,1.5796922519818613,-2.0696580641898477,0.12443949328507281,0.6949368120635916,3.0163494971311273,-1.6681733181629446,0.464855765752605,8.986269113025259,39.734395158805555,-7.535710479516954,4
9,50.70888,-2.76411,"[[-24.         -24.00004421 -24.00008843 ... -24.3624649  -24.18136215
  -24.0002594 ]
 [-24.00000138 -23.9672163  -23.93443122 ... -24.18119049 -24.00008774
  -23.81898499]
 [-24.00000276 -23.93438839 -23.86877401 ... -23.99991608 -23.81881332
  -23.63771057]
 ...
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]]","[-2.8104166984558105, -2.714583396911621, 50.66041564941406, 50.756248474121094]","[[-31.00042725 -31.00042725 -31.00042725 ... -30.         -30.
  -30.        ]
 [-30.53533936 -30.53533936 -30.53533936 ... -30.         -30.
  -30.        ]
 [-30.07116699 -30.07116699 -30.07116699 ... -30.         -30.
  -30.        ]
 ...
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]
 [         nan          nan          nan ...          nan          nan
           nan]]","[-2.8854167461395264, -2.6395833492279053, 50.58541488647461, 50.83124923706055]","[[-60.         -60.         -59.23632987 ... -57.         -57.00005047
  -56.00000382]
 [-59.11810303 -59.11810303 -59.         ... -56.32641243 -56.98604852
  -56.88189697]
 [-59.         -59.         -59.         ... -57.         -57.
  -57.76421828]
 ...
 [ -1.23608398  -1.23608398  -1.23608398 ...          nan          nan
           nan]
 [ -4.11842502  -3.23681641  -3.1184082  ...          nan          nan
           nan]
 [ -5.          -5.          -4.99981689 ...          nan          nan
           nan]]","[-3.2604167461395264, -2.2645833492279053, 50.21041488647461, 51.20624923706055]",0.901719397599737,1.2603672313149503,3.882843665774678,-2.3480033264539997,0.6336178789171539,2.293590630505882,6.961871813290586,-4.97167382168068,0.3636001847096104,4.8917655953906225,15.612854003898622,-14.375676284566156,3
