N,p1,p2,p3
10000,67.42300963723869,-1.4206365173371722,0.021079225012554888
20000,74.40226501451903,-1.5027107683879253,0.020206530948803588
30000,75.3443894486732,-1.5175851263184321,0.020150869568350164
40000,73.85977467650241,-1.4958800741522713,0.02026384956102891
50000,69.77095738418666,-1.4540439084808843,0.020841621780134094
60000,70.27294467748884,-1.459719098218153,0.020776521159200353
70000,68.21804667862986,-1.437048630236476,0.021075481012367996
80000,69.19251196446295,-1.4453650297822456,0.020896112260316936
90000,70.45512315139136,-1.4600992584218133,0.020725985285958648
100000,69.75956566085557,-1.453160163439272,0.02083044912919928
110000,71.36594456186127,-1.4713112789203295,0.02061684428447797
120000,71.5974696734869,-1.47177241389803,0.02055329677440269
130000,71.75441691403205,-1.4731695370084643,0.020527342910348745
140000,71.7533026893835,-1.4720842537251289,0.020513418278453203
150000,71.33844277820606,-1.4669637001575069,0.020560939513306342
160000,72.17457911605793,-1.4748546704909375,0.020432321043895127
170000,72.27890738762349,-1.4758821164586897,0.02041776860989654
180000,71.75938484492946,-1.4705000320200394,0.02049047244555901
190000,71.27326253656383,-1.4652655379013044,0.0205576807519998
192318,70.86351518230019,-1.4612251645032392,0.020620332174841584
