N,p1,p2,p3
10000,0.18293748485604527,-0.06133585645206214,0.1590504676631975
20000,0.1580684724229578,-0.06306817773444817,0.15671017531478504
30000,0.15955271685579248,-0.0008905783863589934,0.1701310664968129
40000,0.15368342091070902,3.593934069983028e-05,0.17031422342340166
50000,0.13278148560135278,-0.06539632739535656,0.15598943112366634
60000,0.1323394408781719,0.0007353317431481935,0.1729862262984005
70000,0.11467539926601295,-0.06701300909966451,0.15773464730377584
80000,0.13328730840959047,0.0019984318827379216,0.173963728729144
90000,0.13336055927252455,0.0022194357383614307,0.1739987802423873
100000,0.1148591298916111,-0.06715055856634208,0.15789060860605772
110000,0.13282678090099237,0.00042301605081081434,0.17349532471558327
119832,0.13291509880683994,1.9716987255301796e-07,0.17364828164104407
